,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,0u0Yh7ucNwizG7B2iiNwb7,0.34,0.0173,0,-24.353,1,0.0406,0.964,0.958,0.118,0.124,120.092,4
1,36pKTtmRcBGGIcNNoyuIDR,0.554,0.237,11,-18.994,0,0.0355,0.65,0.924,0.0472,0.155,129.998,4
2,2bvQLKsrXM0sr7jpvksbex,0.246,0.00612,8,-33.778,0,0.0341,0.995,0.968,0.104,0.0648,87.031,4
3,41ecIiW67i9GKCHvz3MXBk,0.0712,0.0177,0,-35.733,1,0.0556,0.994,0.96,0.0741,0.0352,76.875,4
4,3SWK9eNQKMwKyMIuzbP5z6,0.273,0.00235,4,-39.264,0,0.0443,0.989,0.828,0.0482,0.0523,66.643,4
5,5PMC9hoPaC1dixpvpcbV38,0.0899,0.0183,5,-31.165,1,0.043,0.992,0.94,0.164,0.16,71.872,4
6,6aK2ShSH2qMzAOrBPlorOa,0.0666,0.00914,0,-35.001,1,0.0444,0.974,0.97,0.123,0.104,62.972,4
7,1aeKotbZ2wBYuOspDawtwo,0.143,0.155,3,-21.899,1,0.0413,0.988,0.74,0.109,0.0389,146.503,4
8,721JFWNhbSfIUUJl86Ox12,0.397,0.0955,2,-27.994,1,0.0306,0.973,0.941,0.387,0.0391,99.97,4
9,2LItVxgRQQZN87w0H1y4BM,0.23,0.00532,2,-32.594,0,0.0447,0.994,0.874,0.194,0.0696,70.091,4
10,1ur1DKOxkZmg5kPwjMytxY,0.0667,0.0073,0,-30.953,1,0.0424,0.982,0.961,0.105,0.078,71.302,4
11,2nVjezSyBFTLwrkKE7scxq,0.371,0.0117,9,-26.777,0,0.092,0.977,0.951,0.117,0.341,131.116,4
12,3i09o6Fix0JIxqFRINm4rl,0.207,0.126,5,-25.174,1,0.0402,0.662,0.711,0.111,0.0376,93.68,4
13,5bUPABNEXAE2XjRHvQVJoz,0.0882,0.011,2,-34.088,1,0.0467,0.95,0.919,0.0751,0.037,166.529,4
14,6FDWiY1Gy0DVhvYGtkLBCa,0.575,0.0615,0,-22.34,1,0.0386,0.991,0.931,0.0958,0.377,120.012,4
15,0ZfUMV9MdGJPuGe02EaY4S,0.157,0.0259,9,-29.541,1,0.0458,0.953,0.982,0.0899,0.0376,134.383,4
16,4nu0qrq6hb5lC9BBXLawvp,0.0634,0.0245,0,-32.53,1,0.0449,0.88,0.915,0.107,0.0365,69.966,4
17,76v5lHjLy2NN6JsVKLV5z4,0.261,0.00527,7,-30.742,1,0.0417,0.994,0.888,0.102,0.156,62.086,4
18,7gg7nACodz5qHuEAXKMrJo,0.312,0.0129,0,-29.504,1,0.0431,0.977,0.956,0.108,0.0613,66.659,4
19,4nGG2WCAyKdV69LRKNbXqH,0.446,0.0101,5,-32.432,1,0.037,0.99,0.956,0.0748,0.0363,99.921,4
20,3KM1nY4ghXcxSy5MOvj0So,0.241,0.00679,0,-24.235,1,0.0448,0.955,0.0432,0.0874,0.245,86.092,4
21,3Didz5X0SHLWlLGOqwzncy,0.219,0.0213,0,-27.269,1,0.0318,0.962,0.954,0.108,0.0353,100.011,4
22,1hVg3tuVyM9PKUntCiHvbN,0.267,0.00379,8,-34.846,1,0.0375,0.99,0.941,0.111,0.263,79.47,4
23,48dTTG5Fxi5t71UxyXu0eO,0.134,0.107,9,-27.995,0,0.0535,0.942,0.948,0.308,0.0379,73.247,4
24,4hw5JkACx9hIurDO5av3Mu,0.0702,0.0111,2,-30.491,1,0.0421,0.987,0.871,0.353,0.0838,75.499,4
25,3BQV8n6rLxM1eVjcGXqEOt,0.387,0.0061,7,-37.223,1,0.0406,0.977,0.968,0.105,0.0384,109.797,4
26,3TweJDX9GN2hlDqsypynfP,0.201,0.068,9,-26.658,1,0.0465,0.801,0.699,0.111,0.474,124.185,4
27,1BTTHlZP2KgawdgtI2xHZf,0.557,0.0506,0,-27.168,1,0.0325,0.993,0.904,0.243,0.0698,127.936,4
28,4BCGFHJU346vUKGAK1rlGw,0.141,0.0504,6,-31.373,1,0.0446,0.93,0.954,0.102,0.0403,140.837,4
29,4LLldaV6BzokU92jHMXDJu,0.0834,0.0438,9,-27.764,0,0.0427,0.941,0.962,0.111,0.0979,171.844,4
30,36Pux4vkReWYlKJuDNoygD,0.283,0.00475,0,-36.263,1,0.0331,0.983,0.938,0.0938,0.0817,79.967,4
31,0NUhB7RC4dWYxExGcJY0gV,0.345,0.243,7,-15.849,1,0.0818,0.978,0.956,0.0876,0.0387,65.225,4
32,0vIzna72UtZBMBmbaYHVtH,0.134,0.000735,0,-40.088,1,0.0451,0.992,0.962,0.0716,0.0459,142.681,4
33,2TqeMPFv54YwSn2khvR7er,0.187,0.0178,1,-32.563,1,0.0385,0.953,0.95,0.0881,0.0398,67.406,4
34,5OtRYlnhc9M10m8lknEtpq,0.231,0.0117,2,-32.208,1,0.0523,0.993,0.91,0.12,0.201,68.691,4
35,76oMN4G0tZQKmU8kzKrnUm,0.0689,0.0332,11,-28.473,1,0.045,0.987,0.933,0.106,0.0379,75.278,4
36,5fVMwb3eiEfsnQQ7qvIIaQ,0.167,0.0375,5,-26.356,0,0.0412,0.943,0.962,0.0896,0.0331,131.874,4
37,645PV1ByodKdhx29P0bCq0,0.118,0.0057,4,-32.224,0,0.038,0.987,0.962,0.0996,0.0366,72.968,4
38,0OLfnQp6PkYd3Tj9rtg1s8,0.0978,0.00977,4,-34.02,1,0.0447,0.972,0.914,0.107,0.0327,89.093,4
39,0kp8sMA3cgHUjNwYf32kbe,0.194,0.0532,11,-24.305,0,0.0388,0.957,0.939,0.112,0.0399,60.62,4
40,3lPlDkULuNFgxcqsPbKwa3,0.25,0.0022,10,-39.133,1,0.0378,0.988,0.965,0.0819,0.0727,139.473,4
41,04M8lymXEGpD7JJMpmQe2m,0.0671,0.0326,7,-29.224,1,0.0461,0.95,0.955,0.0906,0.0391,75.19,4
42,7EOvrLJe6hi7Lba41IMFpw,0.0581,0.00399,0,-34.695,1,0.0439,0.971,0.845,0.0982,0.0356,61.038,4
43,2THMumd2UduUKZAtAgb2Kh,0.158,0.00183,2,-35.84,0,0.0388,0.992,0.799,0.0811,0.0729,75.093,4
44,1FWxt1UWOiKEQbCCR3vxUy,0.181,0.0132,7,-26.383,1,0.0423,0.898,0.806,0.112,0.0351,66.941,4
45,0H0q0KCSFuYgTwhfMfFn3I,0.18,0.0171,0,-30.451,1,0.0461,0.929,0.912,0.382,0.0355,68.871,4
46,0r1Lskg885JtBYN2zeC6wM,0.306,0.339,8,-13.598,0,0.0418,0.397,0.00113,0.104,0.0307,47.509,4
47,365womtjUopRTVrtA1hJ8G,0.14,0.0202,4,-32.856,1,0.0445,0.973,0.949,0.171,0.038,69.29,4
48,25FNRRzM57o7qG3dndhu19,0.209,0.0195,5,-32.098,1,0.0436,0.99,0.955,0.0946,0.0384,70.594,4
49,7JW5KTJb3qet0QCdyUpheN,0.271,0.0192,0,-33.918,1,0.0355,0.973,0.94,0.143,0.0746,66.678,4
50,0Zc3O63WkCZwERyIqyDevs,0.764,0.0726,4,-25.443,0,0.0472,0.942,0.884,0.122,0.121,120.082,4
51,0uH2GV9V6jMsuqfCJfBGHE,0.137,0.0114,7,-34.265,1,0.0454,0.966,0.821,0.523,0.0372,99.954,4
52,0iqeLKNr0Tdjx6BuM37pwz,0.147,0.111,5,-20.754,1,0.0315,0.989,0.953,0.102,0.05,97.994,4
53,7rMopFU6SVuqUfNLR6d1X9,0.201,0.00633,0,-31.202,1,0.0416,0.97,0.922,0.127,0.0276,131.223,4
