,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,17i5jLpzndlQhbS4SrTd0B,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,0
1,4SFBV7SRNG2e2kyL1F6kjU,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,0
2,3zLTPuucd3e6TxZnu2dlVS,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,0
3,7h6GoPvGHC9uzZJ8bNvfIq,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,0
4,5x3TUfYzgZIdt0Kaop64ss,0.13,0.158,2,-16.132,1,0.035,0.748,0.924,0.1,0.0998,85.031,0
5,1upQiytDIEZfl9ItruoXuC,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,0
6,5fdp9rXfEixCGLM1Og4EN1,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,0
7,0jOnZhF75V68VsBObWx2XO,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,0
8,1cmigB9I6IRpFqjIbzvSQB,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,0
9,6Uk28Hs2MulezLxMrd1rBD,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,0
10,0dzl6bBvsIAfHLlTbBObTW,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.604,0.143,0.0936,94.736,0
11,0pCHzhuRt6kOU3FUEG3HnC,0.371,0.131,2,-23.899,1,0.0413,0.898,0.925,0.0847,0.0655,105.328,0
12,0cqcRqZgkNHanWQ8slYA0v,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,0
13,2kAgCRZPG3YQR2VMqRvLmb,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,0
14,3QqPgzOcv9titKufFR0gsQ,0.353,0.254,0,-16.205,1,0.0349,0.948,0.859,0.0843,0.0986,133.808,0
15,4rrrn8OLrttq7r9RgNXalU,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,0
16,0k6P9cdEA9K3k0ASde2Kof,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,0
17,419qlOGNXoyICx4jO0hqaj,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,0
18,3DNRdudZ2SstnDCVKFdXxG,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,0
19,04eShjKTWijeJJqGnhxpYK,0.235,0.0639,11,-24.404,0,0.049,0.962,0.603,0.466,0.0781,120.736,0
20,5pjDwtMPly0cNMbuGXhUOI,0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,0
21,0QTaXZRWdzfPdssiQThdCL,0.312,0.0465,9,-26.438,0,0.0378,0.981,0.9,0.0872,0.0371,130.303,0
22,3GecLjGMqzjmgkvy2v41Wf,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,0
23,2u9VGZmVz7Rm01SfDgzcfA,0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,0
24,3af6PvJHP8XlFMWeuN7bF8,0.113,0.161,7,-20.046,1,0.0442,0.484,0.928,0.16,0.0365,65.062,0
25,0S0YKiEdR9cT9pYgEaTevF,0.0623,0.0116,2,-27.893,1,0.0567,0.991,0.445,0.0816,0.0331,65.057,0
26,5xbuJuQsTVheVZvX2AJVIv,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,0
27,7HSs4srn1qnZhh7WRWBVOk,0.21,0.101,0,-19.383,1,0.0403,0.927,0.902,0.0776,0.153,86.314,0
28,2Z4aQJh0kesRMookvtfR4y,0.303,0.119,9,-18.055,0,0.0386,0.975,0.88,0.112,0.038,94.868,0
29,1CSaCKPIp2yCIDL3t7Fyau,0.102,0.0733,10,-24.133,0,0.0488,0.974,0.859,0.28,0.0308,73.954,0
30,2nVt0n0aSj3AwZjakMvDHX,0.165,0.106,8,-21.742,1,0.039,0.807,0.782,0.105,0.0336,105.651,0
31,4Dcm4KMuDz0l01weeSpD4J,0.292,0.246,2,-14.96,1,0.0385,0.922,0.525,0.107,0.0859,109.766,0
32,2fC30Rt5tFa6FA2jNb4fiz,0.326,0.33,7,-12.967,0,0.0406,0.871,0.749,0.128,0.293,118.668,0
33,4QfYHdV8hMoyS9qKUct98q,0.115,0.0422,8,-24.137,1,0.0404,0.966,0.919,0.0896,0.037,87.855,0
34,3MRQn2RYo2VLYMoStnLRxu,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,0
35,0xX7kREWmOGBWzYNcpZwRN,0.25,0.135,9,-18.615,1,0.0488,0.958,0.0349,0.0477,0.179,94.404,0
36,1Xy6MHSaX3IUGGqst6RzYM,0.212,0.119,1,-20.511,1,0.0366,0.976,0.907,0.087,0.0396,84.346,0
37,4wudbbceOZKjRlhTtbHvAs,0.176,0.006,5,-42.238,1,0.0384,0.899,3.24e-05,0.105,0.0383,71.477,0
38,52GmHO5DikTIKc3yBmTTT1,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,0
39,2OHnoGjn6X6kDwzO7Rw0Y9,0.351,0.206,1,-22.657,1,0.0597,0.797,0.255,0.0738,0.0839,130.415,0
40,1Oo7XEqkrwifJn17aA0ocF,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,0
41,5Zf5prtvv7KRQ1J6kNn4C6,0.191,0.0363,3,-25.31,1,0.0409,0.991,0.924,0.141,0.0372,69.754,0
42,2MSgFefjK0T7Iwjvr3OKqV,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,0
43,4dGkPPLnIdVgogqpyaAjbc,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,0
44,74WjYdm3Lvbwnds4thYPUU,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,0
45,3VQ7hwiEfaHDl3AySgyaiR,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,0
46,6cC6h5E351deEGFd7Kh9uy,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,0
47,3NbAsIxDL0fVgNuCLD152P,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,0
48,1ENZ1YHuOp5MMFJlWBQ6V7,0.31,0.0555,7,-25.695,1,0.0395,0.994,0.906,0.121,0.566,70.515,0
49,2ceu417OdiSxzR3K7B1n2M,0.224,0.0291,7,-26.167,1,0.0455,0.959,0.845,0.106,0.0538,121.131,0
50,1MiWGSGDC5mGoP3MNclZ7s,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,0
51,43bSKCMWHIuBsUVmQcDX1J,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,0
52,3Rw0Rg4LjlYnuxIyioW3vg,0.212,0.0517,2,-24.467,1,0.0525,0.928,0.639,0.112,0.152,185.678,0
53,6VDHdry8ytOL2WWbePDxSD,0.116,0.0694,0,-23.624,1,0.0497,0.969,0.644,0.109,0.0377,169.789,0
54,64ZxBE1ZgK4C0lGljXzDcG,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,0
55,0w4LgJ5G1Xz5jLS3HX8oyq,0.218,0.117,0,-18.585,1,0.0489,0.94,0.861,0.15,0.0599,77.009,0
56,0yzhOPf0iw2qWwcXRRta5L,0.309,0.258,9,-15.327,1,0.0459,0.976,0.69,0.0924,0.115,74.568,0
57,6kg7bfwsTKzRqnBGGv4VqR,0.193,0.0839,8,-22.849,1,0.0406,0.971,0.822,0.118,0.0569,85.556,0
58,0oIQl9tFpCiKBRavEIIGzo,0.164,0.0194,3,-34.126,1,0.0434,0.938,0.859,0.0939,0.0581,101.708,0
59,7uf3aFC1msj0t5cYImgOWy,0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325,0
60,6cUCckpdlqHJ5Ascf2uH2A,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,0
61,76wXMaJVSr0nSsKsSdwAiu,0.166,0.0363,11,-26.822,1,0.0381,0.978,0.922,0.0882,0.039,84.467,0
62,5DFUsGW4Cmltv8Spd0u1aV,0.0891,0.341,10,-12.681,0,0.046,0.145,0.836,0.111,0.0334,85.231,0
63,58Q96yWnuBqlKEGd2vGyAg,0.24,0.0648,4,-25.208,0,0.0426,0.935,0.0272,0.258,0.0771,95.286,0
64,5d6FOGCa0EDqCJSpccEh8s,0.359,0.046,6,-18.725,0,0.0407,0.901,0.118,0.277,0.263,127.653,0
65,4GnVpbnWjHFrpXjAcPHvqM,0.12,0.138,10,-15.538,1,0.048,0.994,0.686,0.11,0.043,67.894,0
66,7dchPojQcmY6eMBFJAo64i,0.463,0.162,7,-24.484,0,0.045,0.963,0.825,0.0943,0.374,125.514,0
67,1aTpzY2ggWHhPi8p2f56u1,0.436,0.00518,7,-36.593,1,0.067,0.995,0.932,0.0788,0.275,135.286,0
68,0neipEnwEzyd66aUqUsg5P,0.231,0.133,2,-20.274,1,0.0437,0.963,0.659,0.135,0.0564,122.239,0
69,0mcgXc8P5GyGtP9aY7zir6,0.367,0.316,9,-14.49,0,0.0429,0.927,0.779,0.113,0.242,149.089,0
70,5Wj90oTRAxvTUivep2HlUu,0.096,0.0325,8,-24.978,1,0.0416,0.977,0.852,0.0738,0.035,87.85,0
71,1dFVnX4mJTnWubAPE8S3OR,0.356,0.152,4,-20.155,1,0.0406,0.981,0.903,0.0807,0.04,132.413,0
72,3jLcwFns5S9OYQojN8XAkJ,0.154,0.00261,1,-36.267,1,0.0419,0.89,0.763,0.125,0.0366,83.549,0
73,5bVlEvO3SadcOyh6rnWW4P,0.339,0.0588,10,-17.647,0,0.0373,0.984,0.862,0.12,0.198,105.916,0
74,4fDodwdZ1LBDL2I2WCnUMY,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,0
75,7xGcLLeK1de0I71lH28DeM,0.144,0.0868,8,-23.338,1,0.0387,0.891,0.904,0.177,0.0737,94.463,0
76,72jIJDADnBLJKXV2yxv5N0,0.352,0.235,2,-16.235,1,0.0398,0.894,0.675,0.396,0.329,109.16,0
77,5i7bLnNE0R3m1MNUY7UsqT,0.377,0.173,9,-21.377,1,0.0329,0.991,0.909,0.103,0.558,132.187,0
78,246ntJR3A2s7B5E40FTCLf,0.496,0.249,3,-18.131,1,0.0411,0.98,0.934,0.12,0.719,144.239,0
79,5U7T2widXE5MqoQ6dmi3O9,0.357,0.0464,8,-20.868,1,0.0434,0.992,0.859,0.109,0.0417,69.859,0
80,3sAYxq1986j3ydqLv6jwUJ,0.0,0.0842,9,-19.397,1,0.0,0.755,0.889,0.262,0.0,0.0,0
81,2dEbRirkEtImY7HdYxrgRS,0.0716,0.0408,7,-28.284,1,0.0399,0.851,0.901,0.0844,0.0377,77.047,0
82,408VC5UfnAh3Uhl0RQpbkA,0.302,0.0355,0,-24.074,1,0.0363,0.932,0.304,0.043,0.186,115.104,0
83,2TB6PQkgnw9rrFRK4VOOrC,0.411,0.0487,10,-25.68,1,0.0383,0.985,0.918,0.0944,0.101,128.859,0
84,2mPd1593fOWtbSGqA0VVcS,0.278,0.151,4,-19.607,0,0.042,0.917,0.122,0.273,0.167,99.212,0
85,63cA2QfqtWZa0GGPZnYc0K,0.0999,0.0241,2,-25.651,1,0.0432,0.98,0.766,0.0623,0.0396,89.001,0
86,5CfxpBCYwfB17MMgARumHl,0.0754,0.0102,4,-35.69,1,0.0464,0.901,0.106,0.0817,0.0331,81.324,0
87,5eQKtxGSPvl9NEPXAuzzTJ,0.156,0.00709,7,-34.153,0,0.0382,0.941,0.799,0.0986,0.041,97.925,0
88,3uLsZpdHrJsR9AjrrxMI66,0.169,0.0974,3,-21.414,1,0.042,0.864,0.632,0.087,0.0524,170.379,0
89,6GDuB7BvASYD9JePYvOEX1,0.203,0.0641,5,-27.51,1,0.0529,0.972,0.94,0.101,0.0978,73.105,0
90,4O2N861eOnF9q8EtpH8IJu,0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,0
91,6vS8JCT9WqTFeAuu8smjRF,0.186,0.124,1,-15.271,1,0.0434,0.978,0.865,0.111,0.248,77.903,0
92,6zcP5A5Xv6bvCUpwXrswKa,0.203,0.112,11,-18.029,0,0.0418,0.936,0.935,0.126,0.0374,72.483,0
93,4EcOBeGY1r0j26Z8FJ1nVZ,0.093,0.0249,4,-20.74,0,0.0463,0.513,0.805,0.0831,0.0365,79.369,0
94,7vJhOBgOkXyEJvw1vsU6HB,0.156,0.0978,5,-16.326,1,0.0371,0.976,0.893,0.0854,0.0638,179.447,0
95,3pzBD8BVdrv7VJ7glRYshl,0.364,0.0592,2,-21.757,1,0.057,0.978,0.0,0.0823,0.185,123.789,0
96,1M2RkUUJ9wXRsW3jN1MCHS,0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,0
97,6mhQ7eOHaV0ur2ooKTavW1,0.173,0.182,3,-18.848,1,0.0437,0.886,0.894,0.224,0.0781,70.831,0
98,46tPGzCXCI2oKsemztDA9u,0.193,0.0656,10,-19.239,1,0.0471,0.995,0.829,0.119,0.0359,128.975,0
99,5Pl2CXDkaP6WEnJ0bpKGOm,0.384,0.0414,11,-23.019,0,0.0378,0.992,0.897,0.0684,0.0618,71.224,0
0,1cmigB9I6IRpFqjIbzvSQB,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,0
1,0jOnZhF75V68VsBObWx2XO,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,0
2,7hyq9VKysg8g1L5R0y41dt,0.0921,0.0183,7,-31.858,1,0.0513,0.942,0.94,0.195,0.039,166.979,0
3,2m2GJpBjQNNphaCgBeoj7R,0.324,0.0186,2,-28.248,1,0.0476,0.99,0.934,0.105,0.126,85.297,0
4,2Imxyb3LiuXsDFo7Gq5YDs,0.406,0.00921,2,-31.822,1,0.087,0.984,0.906,0.0953,0.303,80.507,0
5,6y1FgcqMY76hCk9qLxUuy4,0.141,0.00268,2,-37.571,0,0.0427,0.945,0.601,0.0756,0.0386,140.372,0
6,4SsDrt7HV1ECcJ2A7EHfLL,0.213,0.0377,10,-33.06,1,0.0475,0.986,0.869,0.139,0.0973,165.763,0
7,1G3QPQkoXvpChjNUhd6Tfs,0.415,0.026,1,-36.7,1,0.0496,0.995,0.938,0.107,0.268,136.191,0
8,7nGA1sRfLDWXYb3VPstnZf,0.0979,0.0801,8,-19.643,1,0.0458,0.941,0.431,0.115,0.0608,75.314,0
9,2zM7Ato6xDOi8ten4qn7Cm,0.218,0.00352,1,-39.627,1,0.0515,0.992,0.951,0.139,0.192,68.61,0
10,518hKWxnCK1L1fsYRl0OB5,0.186,0.0639,5,-23.374,0,0.0456,0.989,0.917,0.0953,0.0463,102.639,0
11,2eSVQH8lwcrUBs7dpEj7p7,0.3,0.0405,8,-31.023,1,0.0449,0.992,0.948,0.138,0.233,63.821,0
12,5WEmDvDiRpE7p3y8SMMAPJ,0.146,0.019,0,-31.365,1,0.0476,0.92,0.878,0.0864,0.0492,81.526,0
13,0bCSGdS5SRvzoz4IBTD55W,0.305,0.0384,5,-28.605,0,0.0301,0.961,0.902,0.0886,0.0856,81.917,0
14,3qLZnIVAiGexuNuG8Aptrq,0.219,0.00913,1,-42.727,1,0.0352,0.993,0.882,0.0807,0.0702,75.77,0
15,43bSKCMWHIuBsUVmQcDX1J,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,0
16,3NbAsIxDL0fVgNuCLD152P,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,0
17,5TtmI9sfXw4VXco0PE21mV,0.176,0.0534,10,-27.626,1,0.0406,0.97,0.915,0.29,0.0332,71.673,0
18,2EAgTVB2EdsMdqaqOk062L,0.227,0.00482,8,-36.351,1,0.036,0.993,0.912,0.157,0.0731,70.684,0
19,1HE6aHCUtC6Mx0kiOsRUIS,0.248,0.00832,5,-38.205,0,0.0485,0.995,0.923,0.0669,0.239,175.256,0
20,73kFkK74uTO8fy8yBfMrTk,0.391,0.00316,10,-36.233,1,0.0382,0.995,0.925,0.068,0.143,69.792,0
21,0OG8MAiXcyIZd4Ol92zmk7,0.429,0.0234,6,-29.753,1,0.0489,0.995,0.957,0.0962,0.0751,116.163,0
22,7lFRAFQ2f2AmWOefaiV4wb,0.221,0.00193,3,-43.209,1,0.0409,0.992,0.956,0.0805,0.347,69.843,0
23,1Oo7XEqkrwifJn17aA0ocF,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,0
24,5KIOfWtUEKrxDNi4OnIpg2,0.395,0.0826,5,-18.982,0,0.0432,0.995,0.93,0.126,0.119,93.288,0
25,3zrcDZ9hPNkZuq20pxPb9o,0.152,0.00957,10,-31.787,1,0.039,0.984,0.88,0.0987,0.0742,89.348,0
26,5bu9A6uphPWg39RC3ZKeku,0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,0
27,3QI3LjBqsB4tuaDgR2jOyU,0.068,0.0103,5,-28.459,1,0.0391,0.991,0.92,0.109,0.0347,71.015,0
28,1XJMRdFSgkrmw2cXLJOD0b,0.46,0.00618,6,-28.121,1,0.0481,0.994,0.89,0.0896,0.086,67.12,0
29,1NechTDnTtSaciAT6gmvJQ,0.238,0.00484,8,-31.76,1,0.0393,0.995,0.95,0.121,0.0394,70.821,0
30,1PINN6x0Riouab3wPSglpp,0.294,0.00785,4,-29.64,0,0.0667,0.994,0.956,0.0929,0.173,70.958,0
31,3pThH9KvYgY2zBkcT8qiyj,0.16,0.00726,0,-39.362,1,0.0436,0.971,0.952,0.139,0.0336,86.12,0
32,1YcABWwgkfrOSw8VMgDWZU,0.321,0.00611,4,-38.341,0,0.0362,0.995,0.908,0.09,0.0693,104.311,0
33,6tmzIxHREnZzKSDMm6CNNS,0.13,0.00924,6,-27.853,1,0.0448,0.988,0.909,0.0849,0.0369,77.307,0
34,3WXj9zWNL8X03WiC1muLZ6,0.346,0.00398,10,-44.526,1,0.0537,0.992,0.878,0.0643,0.318,78.891,0
35,6B0ZlLf0p2s1Lwt3ivAXKy,0.398,0.00209,0,-39.959,1,0.0444,0.996,0.955,0.0813,0.0971,71.461,0
36,1v3gGmcneK1QzYyBFiBXG0,0.36,0.00301,6,-35.441,0,0.0444,0.994,0.897,0.0557,0.18,72.892,0
37,3LRYwBJECFeQGi16cPxEZY,0.32,0.00157,10,-43.77,0,0.0715,0.985,0.0465,0.05,0.109,78.685,0
38,4bFdyisLdkeS7tmbAWpl13,0.215,0.0282,0,-28.351,0,0.0353,0.991,0.877,0.107,0.167,74.408,0
39,6koKpSfGUDeLrHs1hCPL1P,0.0694,0.00525,3,-35.45,1,0.0482,0.972,0.00751,0.0739,0.036,73.566,0
40,4o7Cql3n8VEsFPk7uVcdYb,0.253,0.00429,7,-36.172,0,0.0523,0.99,0.912,0.103,0.0368,74.497,0
41,0TnTf6JpDE2tQoO83zZfD0,0.314,0.00545,0,-33.332,1,0.0595,0.994,0.945,0.0894,0.443,138.548,0
42,06emSBtL6jcUXcjVlayUHl,0.168,0.00571,8,-36.245,1,0.0404,0.995,0.92,0.068,0.0705,78.043,0
43,5SFdpYdc4uDqkQqW7UzSqB,0.389,0.0187,9,-30.859,0,0.0444,0.995,0.903,0.0864,0.294,135.595,0
44,6XmozAAnvBf2VtLL53AkX0,0.299,0.0264,9,-26.535,0,0.0469,0.995,0.882,0.073,0.235,168.963,0
45,18JxYMTSFKZlxqdNFrOs1r,0.182,0.0377,11,-33.748,0,0.0391,0.987,0.957,0.0804,0.0923,100.482,0
46,3C8Xxgad3ejXfJ0RiJq9G1,0.171,0.00926,7,-31.675,0,0.044,0.993,0.946,0.128,0.0399,116.418,0
47,5bhbv1xIbk0SbfQ2MEXe8F,0.222,0.0456,10,-20.891,0,0.0385,0.993,0.964,0.231,0.0881,128.662,0
48,2zl2AqEdHVLhjzStuRulGY,0.351,0.0241,7,-33.197,1,0.0538,0.995,0.925,0.131,0.179,81.805,0
49,1tnxups7Vr7wKjwCtzfhT8,0.172,0.014,1,-27.988,1,0.0425,0.981,0.902,0.0735,0.0348,144.414,0
50,36EnMgx9PmtnzUtmKwI63h,0.354,0.116,4,-28.692,0,0.0399,0.987,0.883,0.124,0.181,82.627,0
51,0ehvSWC15JKhz5us5aOBjL,0.128,0.0194,4,-24.941,1,0.0388,0.99,0.946,0.069,0.09,75.818,0
52,5k4Eagqnz3YKdMLjSSi0DD,0.16,0.0261,9,-33.263,0,0.0517,0.917,0.232,0.113,0.0305,88.549,0
53,1jcQ040aWKeiUGJ2IcnFtV,0.349,0.191,0,-16.111,0,0.0463,0.992,0.936,0.132,0.0414,140.422,0
54,5hJrBqOLUnMXNjDlAX67aP,0.366,0.145,6,-24.892,0,0.0378,0.926,0.483,0.331,0.0749,94.159,0
55,2cnCYr5QgPJG0OJqYY4DGF,0.153,0.0398,7,-31.174,0,0.0432,0.867,0.965,0.114,0.0373,85.367,0
56,4a8dR8XKOBOMxUSr8UT58W,0.354,0.0322,2,-27.492,0,0.0435,0.992,0.955,0.104,0.0638,67.872,0
57,0aOvxm0QThgJ3QSV0qqS35,0.331,0.00174,1,-47.917,1,0.0564,0.959,0.511,0.0613,0.162,69.275,0
58,5776PanLfe9zLJMhDbMBgW,0.198,0.0899,4,-25.087,1,0.0448,0.949,0.924,0.15,0.0711,111.868,0
59,1juisCcrVdwoLbDWyVvNrX,0.448,0.0052,4,-36.512,1,0.0564,0.995,0.88,0.0698,0.0398,62.171,0
60,4NqknSuLbtn77F73YzNVBf,0.23,0.0592,7,-23.594,1,0.0445,0.989,0.941,0.0906,0.103,89.965,0
61,3MRQn2RYo2VLYMoStnLRxu,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,0
62,2l2G75RpwNntF9VH1x6SPj,0.147,0.0172,0,-29.506,1,0.043,0.978,0.92,0.107,0.0614,71.604,0
63,6pV1dGidc6DvzjKhbMqgDa,0.193,0.116,9,-25.718,1,0.0608,0.986,0.918,0.505,0.0836,143.301,0
0,24Uwb9ZsMs7ZL19FHpotEY,0.481,0.182,3,-24.37,1,0.0638,0.995,0.966,0.118,0.125,100.542,0
1,7hyq9VKysg8g1L5R0y41dt,0.0921,0.0183,7,-31.858,1,0.0513,0.942,0.94,0.195,0.039,166.979,0
2,3mk0kPavvau5tz8b174cdl,0.152,0.0274,6,-29.234,1,0.0478,0.979,0.895,0.107,0.0398,88.171,0
3,4P2QM7yRPzU0pXQEyhoI2v,0.0921,0.04,1,-26.075,1,0.0473,0.926,0.84,0.125,0.0389,85.38,0
4,6cwDVYsQ4phsqFaWP0giNx,0.205,0.0352,1,-24.747,1,0.0524,0.934,0.0639,0.212,0.0379,84.893,0
5,3P15Mx8jlZd6CPrf9rGXBV,0.0621,0.0345,1,-30.625,1,0.0532,0.662,0.0092,0.119,0.0558,65.193,0
6,7eDoOV9srhIGSQibD1jmS5,0.184,0.127,10,-18.431,1,0.048,0.824,0.246,0.0715,0.0398,82.692,0
7,1Zv6RyHM08gyC4qvOlCZUL,0.299,0.0319,2,-30.624,1,0.0603,0.994,0.928,0.105,0.0975,105.922,0
8,0vpkhAwXqtcLFurn6Js6QG,0.276,0.0377,7,-21.08,1,0.0575,0.919,0.000161,0.123,0.124,83.959,0
9,2Jbc34QUiQoPbD4fLJ2Kew,0.273,0.00366,2,-39.518,0,0.0474,0.992,0.875,0.0966,0.165,91.73,0
10,7JSeEVnJSK1oEJLTHX61Xa,0.0934,0.02,10,-33.082,1,0.0451,0.972,0.892,0.145,0.0452,85.332,0
11,5UhNUgVvEDNY7FBYo5f7QJ,0.319,0.0553,10,-27.051,1,0.0442,0.976,0.927,0.114,0.146,96.82,0
12,3ZYIIUaTnqIox0MS5r6Y74,0.197,0.0527,7,-24.809,1,0.0432,0.991,0.945,0.0731,0.0386,82.876,0
13,3pThH9KvYgY2zBkcT8qiyj,0.16,0.00726,0,-39.362,1,0.0436,0.971,0.952,0.139,0.0336,86.12,0
14,1FP9utnIkLyhZJ2YZ72Kuf,0.465,0.00696,6,-32.062,1,0.0713,0.984,0.924,0.0683,0.0396,100.963,0
15,6lcJu30W4lLZDJICLRjzPQ,0.169,0.0612,3,-22.327,1,0.0397,0.846,0.719,0.0976,0.0337,74.525,0
16,21aBR4dwK4fQeJBngmnAM6,0.319,0.051,4,-21.963,0,0.0378,0.81,0.842,0.122,0.129,92.939,0
