,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,1S55d7hhptRt8PS6nC1fSY,0.662,0.855,0,-3.742,1,0.0457,0.021,0.0,0.228,0.84,120.079,4
1,3YaycOQk7PoQpl7YdvmWdX,0.636,0.866,4,-5.796,1,0.0553,0.243,5.42e-06,0.371,0.963,85.004,4
2,6F7UOC6fPWOkPqybOWBHSv,0.575,0.644,6,-5.68,0,0.0309,0.271,0.0,0.131,0.626,80.07,4
3,5gTQD1FjKMqUisgSD0uyb1,0.54,0.87,8,-4.635,1,0.0487,0.0678,0.0,0.12,0.494,97.991,4
4,4Qum1kECNQrpREev5fvAQ4,0.492,0.708,10,-4.639,1,0.0334,0.0975,0.0,0.12,0.697,161.989,4
5,0XxNamjHxu0ercIQmWNkRT,0.502,0.662,9,-4.041,1,0.0293,0.00322,0.00274,0.119,0.4,110.917,4
6,77oKig47u34qCCFWKMfu1e,0.635,0.747,4,-6.227,1,0.0293,0.00313,0.0,0.346,0.753,104.027,4
7,6Wy1WU6nkioVn681Rom3SP,0.602,0.928,1,-3.601,1,0.0859,0.016,0.0,0.105,0.429,123.121,4
8,6OSa9hgEvituO2SaaYBiwD,0.514,0.693,1,-6.428,1,0.0528,0.0961,0.0,0.071,0.46,156.039,4
9,3SeeaIXnrCfT88vHVCRWHl,0.646,0.816,6,-2.65,1,0.0269,0.00496,0.0,0.179,0.865,102.972,4
10,13G5xv1wUKvJYbK0wYmioN,0.591,0.814,4,-4.986,1,0.0468,0.015,0.0,0.117,0.815,149.9,4
11,7xNYZeFtrB05pi9tc6lEeb,0.472,0.701,2,-4.563,1,0.0369,0.0387,0.0,0.107,0.515,79.805,4
12,3vCUelLOtiuNF78p9LNWZF,0.789,0.642,11,-8.304,1,0.0352,0.357,0.0,0.0985,0.755,121.003,4
13,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,4
14,6JSH36hKFusIabTu1egYO5,0.714,0.766,6,-4.42,1,0.0365,0.0957,0.00183,0.0595,0.665,114.964,4
15,7ivOkXLuP1182ZtzA54Vbw,0.619,0.916,10,-2.752,0,0.0468,0.0483,4.88e-06,0.246,0.785,114.019,4
16,4jp9FimhP2bQ93vR0A5r7b,0.523,0.64,4,-6.15,1,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022,4
17,03kCiUPjdAV9ur9ugm8PQT,0.472,0.937,0,-4.028,0,0.0567,0.00717,0.0,0.11,0.454,140.073,4
18,19ZzEzb4BVK1wVO4brrmZz,0.59,0.846,4,-4.251,1,0.0396,0.182,0.0,0.53,0.733,146.028,4
19,55M9eKCXJFCpid6WBVyEct,0.702,0.778,6,-4.25,1,0.0287,0.302,0.0,0.126,0.879,91.014,4
20,06eu1Ntmqj1XQT7kspc0mN,0.508,0.848,7,-5.563,1,0.0318,0.0303,0.0,0.49,0.753,147.117,4
21,0zpaxKLpHw3zCmiYcvn9OV,0.533,0.663,0,-4.189,1,0.0333,0.0628,0.0,0.108,0.83,175.878,4
22,6iai8D40xiwuktWrxcInt1,0.584,0.821,9,-3.628,1,0.0305,0.01,0.0,0.196,0.571,146.0,4
23,4G644pINN0ZYIxyqeyuT4b,0.526,0.729,5,-4.363,1,0.0333,0.147,0.0,0.103,0.543,140.978,4
24,2kEhQe0BVtY8IIaFE5ALA0,0.614,0.837,1,-3.967,1,0.0255,0.45,2.49e-05,0.115,0.862,96.977,4
25,4QakuMSCrvw79FQV55xx6T,0.516,0.481,6,-6.587,1,0.0254,0.00865,1.18e-05,0.226,0.196,144.097,4
26,6VVqPBFZIbcmv14zNfOc13,0.79,0.325,4,-11.689,1,0.127,0.509,0.0,0.155,0.539,126.877,4
27,5n4kMW5dn7MHFhXQuJb9zG,0.478,0.516,5,-7.276,1,0.0267,0.403,0.0,0.0823,0.376,80.09,4
28,3HGnIIdHYIbkowzLk8UHbE,0.678,0.528,10,-7.317,1,0.0551,0.289,0.0,0.0734,0.614,79.018,4
29,4q9NEq8kUmSZwtNsxL2KJN,0.663,0.502,5,-7.07,1,0.0285,0.791,0.0,0.105,0.371,143.969,4
30,3zAOcNGOFq5Q1OsN0tcxA0,0.796,0.621,2,-6.129,1,0.0346,0.175,0.0,0.274,0.808,121.904,4
31,4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4
32,2CqfyB7PQznYxHNSmmF6lE,0.599,0.899,4,-3.574,1,0.0492,0.129,0.0,0.333,0.792,91.036,4
33,5J8AKBaUq1WHrzrm9YWlP3,0.447,0.538,5,-7.258,1,0.0338,0.119,0.0,0.188,0.453,123.746,4
34,0ODaBMQ3tbTefbmbMWTwdT,0.463,0.76,2,-5.958,1,0.11,0.0379,0.0,0.115,0.65,123.899,4
35,4GyD3o5hWoyCuYpdlzZlRL,0.593,0.552,1,-5.838,1,0.028,0.18,1.71e-05,0.11,0.39,115.0,4
36,2FGOg7uYBfnspkPOISXTFY,0.479,0.742,7,-5.587,1,0.0539,0.0069,0.000834,0.278,0.454,142.909,4
37,55lJN2gIzJM9SCfwzxAEjf,0.455,0.451,0,-7.544,1,0.0452,0.749,0.0,0.0776,0.27,104.662,4
38,3X0V4uEujns3TlpoDa2TvP,0.5,0.485,0,-7.94,1,0.0422,0.633,1.26e-06,0.107,0.379,109.755,4
39,3u6YTdxBfx3dzIC5qJ9Afu,0.534,0.632,3,-5.833,1,0.03,0.515,0.0,0.0922,0.227,143.866,4
40,7FEu6U2jXAs2URjx93AyTm,0.497,0.726,0,-6.018,1,0.0363,0.00331,0.0,0.103,0.418,147.91,4
41,7fCHWKWhCKPlAKmTqOEMM4,0.548,0.547,0,-7.647,1,0.026,0.071,7.64e-05,0.331,0.51,109.898,4
42,1Gp7GfpmFy7DTYAWZ5wERJ,0.62,0.571,2,-6.439,1,0.0339,0.202,0.0,0.268,0.321,149.833,4
43,4ELynSlkV4OHcBCFenFJ7U,0.826,0.603,1,-7.659,0,0.0737,0.0474,0.0,0.0831,0.681,107.494,4
44,5fjoMV6IwPKFsmm0LQuv0m,0.56,0.802,11,-5.428,1,0.0373,0.0863,0.0,0.116,0.423,103.059,4
45,7GMXESVLghURYtnMXl7Ngn,0.617,0.84,2,-6.936,1,0.0802,0.0914,1.36e-06,0.0451,0.721,85.998,4
46,3TuMOIzXkhKFDNHyQ7Mo8J,0.553,0.609,1,-6.436,1,0.0469,0.151,0.0,0.112,0.471,73.903,4
47,4lSNyiHil3tuiwtvEpN1qq,0.582,0.797,5,-4.926,1,0.0334,0.23,0.0,0.132,0.595,135.973,4
48,2ccuOtUjIyx3tPcsnpeBzJ,0.527,0.461,7,-5.908,1,0.0269,0.118,0.0,0.0831,0.227,128.153,4
49,3NIMPlnySYOfVF5Vxr4Ae1,0.7,0.616,2,-5.82,1,0.0282,0.0176,0.0,0.463,0.466,110.059,4
50,0R1REdJZIDy7IS3DybdBce,0.512,0.841,7,-3.8,1,0.0309,0.0424,0.000257,0.113,0.33,156.077,4
51,1fff5nZGyRJtFLkOrSSwOU,0.464,0.755,4,-5.707,1,0.0354,0.00838,0.0,0.0989,0.449,155.973,4
52,7A4WmJcWx6KrVRfQ2CP8e7,0.528,0.718,7,-6.954,1,0.0337,0.1,0.0,0.304,0.51,155.759,4
0,1mMLMZYXkMueg65jRRWG1l,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,4
1,7f08qp3HROTkfrtNpiYGGo,0.683,0.796,11,-4.179,1,0.0285,0.111,0.0,0.197,0.531,90.031,4
2,0tEPv5fuzMhtm6NM5GvQiF,0.422,0.919,4,-4.0,1,0.0639,0.0327,0.000605,0.33,0.553,83.867,4
3,0yD66650JxhqKbW76C2qCo,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97,4
4,7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,4
5,2yySWxfeRN2QRZnFMnYMQl,0.478,0.873,4,-3.637,1,0.122,0.0486,0.0,0.374,0.739,104.365,4
6,4iXDn9pu5Q9sxv45vE8Lak,0.533,0.855,6,-2.901,1,0.0356,0.0553,0.0,0.335,0.64,102.017,4
7,4H0vNUFcHPz5lytcLjwqkr,0.565,0.855,5,-4.189,1,0.0557,0.0445,0.0,0.32,0.852,74.98,4
8,5T6DM9qjjngWnukcw0svkX,0.523,0.954,1,-3.051,1,0.0374,0.00385,1.65e-06,0.243,0.901,141.982,4
9,6ERR6e7h6wCqGoz1TjiUJb,0.739,0.682,2,-3.728,1,0.205,0.129,0.0,0.328,0.634,131.983,4
10,0ODaBMQ3tbTefbmbMWTwdT,0.463,0.76,2,-5.958,1,0.11,0.0379,0.0,0.115,0.65,123.899,4
11,7IWV29mryrqtO0JVgnPtfv,0.598,0.846,6,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,4
12,2BgunkkepMPFpArQj1Dx5s,0.603,0.807,7,-6.999,1,0.045,0.0123,0.0,0.539,0.685,124.099,4
13,7qXPZxXn6Xmv1sjh03skiW,0.614,0.884,0,-4.019,1,0.0402,0.00122,0.0,0.077,0.721,100.531,4
14,2j0rISwZE6tichIrU5SZ78,0.289,0.841,4,-3.615,1,0.0497,0.205,0.0,0.37,0.392,171.91,4
15,3dV1fjKOlLnaNK5MeZHXGv,0.581,0.86,7,-4.092,1,0.039,0.048,0.0,0.169,0.79,148.318,4
16,0QULNNd9z5s35entfiiXoa,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,4
17,215FCyLSBcXeX0NASXEjyn,0.41,0.9,0,-4.249,0,0.0656,0.0167,1.09e-05,0.339,0.558,176.962,4
18,3ZozFqJJlDBNIm4xqxn2ZD,0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018,4
19,5KNQ5MHkfr1Nc9TW8ht9tO,0.642,0.732,9,-5.353,1,0.036,0.261,0.0,0.289,0.649,107.858,4
20,4LiMQ6G9n84rDUBs9wtwz6,0.491,0.907,7,-3.594,1,0.0481,0.0491,0.0,0.242,0.631,199.943,4
21,6enPOmd3vSFpI4jjms8kXN,0.526,0.801,2,-3.717,1,0.0393,0.0354,3.17e-06,0.0637,0.769,172.024,4
22,1AIlY4mVcOY34SNA4CTVbC,0.582,0.724,5,-3.21,1,0.0319,0.0142,0.0,0.0484,0.495,76.986,4
23,6s9m5J92By7jii22Q2XtY2,0.68,0.888,9,-5.308,1,0.055,0.0527,2.82e-06,0.0575,0.484,90.076,4
24,62SvLj5dBDI9Ee3eBA0BxL,0.574,0.792,6,-5.868,1,0.0489,0.0135,0.0,0.11,0.562,104.989,4
25,6Ymvlzom4TQeoKqAWsZRD8,0.554,0.794,11,-5.417,1,0.035,0.0697,0.0,0.63,0.79,176.01,4
26,7lJbTVbDEMa3w7NFamrwdq,0.771,0.283,2,-16.326,1,0.0444,0.198,0.0,0.0888,0.906,77.756,4
27,1EEhU59CbUAW8TaLpxqNNZ,0.464,0.778,9,-3.013,1,0.0489,0.41,0.0,0.16,0.423,175.895,4
28,7DhvNzyMM8jJWcfykG3psB,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803,4
29,4nxgA1nvXvTkmsBY0vJV57,0.611,0.886,0,-4.673,1,0.0343,0.0551,1.1e-06,0.247,0.27,112.988,4
30,0PspNrE4MSjr1JeB4OW0jn,0.553,0.872,1,-2.832,0,0.0782,0.198,0.0,0.0659,0.638,172.138,4
31,39FwE8edwuyiaa4PrGBkP7,0.611,0.688,2,-6.369,1,0.0529,0.251,2.35e-06,0.248,0.649,169.895,4
32,1zj8nUbc4cSs9Fc733MFDy,0.561,0.744,11,-6.437,1,0.0288,0.0319,0.0,0.37,0.812,148.046,4
33,14GwnOeC9qYEKEA6uOZepa,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,4
34,6leiB1fEsTnVCuPiielde5,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8,4
35,2NNioXX1t4whQsBF8FfExl,0.523,0.896,10,-3.556,1,0.0575,0.105,0.0,0.143,0.729,169.94,4
36,2o5mwv7hvas1jdUg14Nihv,0.472,0.866,2,-3.771,1,0.0413,0.044,0.0,0.213,0.775,163.867,4
37,7idmHTAQQPUFqdjXkoooXD,0.711,0.774,7,-4.068,1,0.0308,0.0317,0.0,0.124,0.939,111.016,4
38,2ioXGSTg8y8YGq4eIoVcCw,0.362,0.882,3,-3.717,1,0.0973,0.0791,0.0,0.15,0.864,199.811,4
39,4Ng7hGdPwpINleVecBWiOO,0.557,0.825,6,-4.657,1,0.0283,0.00525,0.00164,0.177,0.841,120.017,4
40,6JSH36hKFusIabTu1egYO5,0.714,0.766,6,-4.42,1,0.0365,0.0957,0.00183,0.0595,0.665,114.964,4
41,0Utg7sirTPqrs6Cx0FbriQ,0.576,0.849,9,-3.057,1,0.0386,0.511,3.89e-05,0.109,0.666,137.982,4
42,2WaOQWSv0D1tZNxyLvnGAI,0.589,0.809,3,-5.292,1,0.0376,0.231,0.0,0.0719,0.496,88.965,4
43,1LM5zQv5pBKPyO7rm7Uz6U,0.517,0.743,9,-4.336,1,0.0363,0.243,3.36e-06,0.107,0.664,76.979,4
44,3dCZm5HrG0jIXAHfNkg2H0,0.592,0.891,10,-3.144,1,0.0512,0.0267,0.0,0.352,0.674,99.983,4
45,19ZzEzb4BVK1wVO4brrmZz,0.59,0.846,4,-4.251,1,0.0396,0.182,0.0,0.53,0.733,146.028,4
46,7B6m8tHAYZsOKOKMU5SR2n,0.581,0.856,3,-4.0,1,0.0783,0.183,0.0,0.0871,0.918,169.902,4
47,7yFhA2fUsL2oIMWlw5DaHQ,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,4
48,2Zt3mJdrTWNJktvromJuOw,0.576,0.894,1,-3.607,1,0.0647,0.024,0.0,0.167,0.811,158.051,4
49,1dgWTMoHwTUnQhOQ8SR5fV,0.782,0.589,0,-7.37,1,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,4
50,66mmgHMVELzJ95xzfeFL2r,0.506,0.749,8,-4.982,0,0.0388,0.00648,2.03e-05,0.223,0.372,151.928,4
51,1qwnPVOIJjAFfCc40Etb1D,0.711,0.801,6,-3.742,1,0.029,0.0244,0.000113,0.135,0.956,105.006,4
52,0s6OWiWGuiCcm1Muzch5A8,0.563,0.887,1,-5.013,1,0.0857,0.0297,0.0,0.352,0.794,158.05,4
53,0pdfN7nOHMYmKykzu1cyfm,0.592,0.725,8,-8.698,1,0.0412,0.207,0.0,0.148,0.784,78.235,4
54,0b2IVjeD268pYd7VUhmtKI,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,4
55,2qYsSHsYkihWx043HVJQRV,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,4
56,0nDjzA4kns1QOWPXuOn6Xw,0.479,0.698,7,-7.914,1,0.0277,0.198,0.0,0.126,0.673,159.699,4
57,23T0OX7QOiIUFShSzbJ5Uo,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,4
58,2KqJC0koTBUyDlsMt5ok1V,0.739,0.85,2,-3.966,1,0.0308,0.0272,0.0,0.181,0.883,113.0,4
59,2Fk0WwAqTBesLtKg97nojy,0.69,0.781,5,-5.101,0,0.0305,0.0873,2.28e-06,0.164,0.841,130.02,4
60,2Gy3XMLbBxACZ4tXdFRGr7,0.721,0.819,9,-5.715,1,0.0269,0.413,0.0,0.196,0.867,96.02,4
61,53Dj5PCDhb22qWqmre3YQs,0.652,0.859,2,-3.746,1,0.0358,0.0639,0.0,0.0777,0.491,109.971,4
