,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,0Led564IcD3bntq0jgiAjy,0.233,0.378,2,-4.079,0,0.0668,0.00465,0.65,0.334,0.0973,89.879,2
1,6uJQGfVwjHnM8B1SiXEAe5,0.16,0.339,2,-5.715,0,0.0758,0.00844,0.844,0.153,0.0343,109.367,2
2,7xukxNHuO9QBYIU48qcU0T,0.316,0.259,2,-14.661,0,0.0403,0.00564,0.869,0.301,0.277,89.96,2
3,00JZfAI0FaN1pI1ZieQMfn,0.202,0.576,7,-7.172,1,0.0379,0.000312,0.948,0.0973,0.0532,106.678,2
4,1SiyNE5JTy3OAunezpEx8H,0.154,0.814,11,-7.152,1,0.0702,5.78e-05,0.872,0.104,0.127,157.805,2
5,1Yffeb6K1XNKpt5fmUbeK1,0.216,0.919,4,-6.13,1,0.0714,4.72e-05,0.906,0.211,0.367,119.784,2
6,0O8qJICr8WkidM5H4qiX8J,0.185,0.908,3,-6.032,0,0.0682,4.01e-05,0.784,0.0751,0.167,106.974,2
7,35Fx5qNaP1XjBdGECKBScw,0.224,0.852,7,-7.07,1,0.0651,1.39e-05,0.876,0.197,0.0426,128.701,2
8,5bxmoh4r3nScwpVBpLmJM7,0.63,0.258,0,-13.503,1,0.0324,0.358,0.0855,0.191,0.235,117.996,2
9,6p71oBglSK7vNuMBDpP5GW,0.389,0.979,4,-6.988,1,0.109,0.000302,0.844,0.155,0.0391,110.002,2
10,2VsRooBkysivyracMDVMv3,0.437,0.953,0,-5.043,1,0.0743,0.000293,0.65,0.297,0.147,125.02,2
11,04X9rHdufZOZ9ahTb739kd,0.322,0.968,7,-3.04,1,0.0912,9.2e-05,0.218,0.33,0.0486,119.783,2
12,7oMShtuHi3TMxR5XtDcDLz,0.377,0.869,4,-5.71,0,0.042,1.25e-05,0.825,0.173,0.0985,139.992,2
13,2HprMRYz0lOREMeFYY1Y8S,0.337,0.825,0,-7.036,1,0.093,0.0233,0.893,0.37,0.0971,145.107,2
14,4vS9TDrNM0WSHwa7H2iJDK,0.445,0.838,9,-1.873,0,0.0496,0.0326,0.663,0.271,0.454,140.197,2
15,2jxLQgZZQzVM7fA6krpBOY,0.303,0.954,2,-5.06,0,0.121,0.000104,0.0985,0.374,0.109,120.018,2
16,6P9LK6apBY4QVkk6kik2x1,0.512,0.804,5,-5.032,1,0.0305,0.0145,0.851,0.131,0.301,149.95,2
17,5zLAHF6Bai286Y8hT5XGBW,0.163,0.638,2,-4.065,1,0.0633,0.0295,0.568,0.16,0.199,112.716,2
18,51Tt8jfQbSypSA0oe8IvoA,0.158,0.88,3,-4.952,1,0.0705,0.0195,0.842,0.0817,0.081,132.073,2
19,2tGHvPg3lAnoYTFRYfuayb,0.215,0.785,2,-5.083,0,0.059,0.0331,0.837,0.108,0.0531,121.956,2
20,5WDCwA8lJlpxcGBpkjGLaM,0.134,0.828,7,-4.593,0,0.0612,0.124,0.563,0.125,0.129,149.71,2
21,3yx1BDkbzVkqt0YQli2KGH,0.328,0.764,2,-5.054,0,0.078,1.73e-05,0.734,0.188,0.0386,119.797,2
22,2ByhUMQMauMc1LJGclDIP5,0.357,0.754,0,-5.58,0,0.0438,0.000415,0.87,0.155,0.13,99.982,2
23,0jPwccywiuxJJCRrO41zGP,0.203,0.479,4,-5.681,1,0.0363,0.000397,0.444,0.158,0.225,103.988,2
24,3lqNJQbW3hVmkHcScJrmr3,0.205,0.429,10,-9.909,1,0.0351,0.000819,0.839,0.102,0.0496,182.23,2
25,3N2CqP1wJ6UDm5Autjdr3G,0.367,0.855,1,-12.638,0,0.064,7.85e-05,0.205,0.18,0.0663,132.974,2
26,3dpG3RuPZ7QKygcCsnCn5u,0.368,0.848,5,-4.029,1,0.0501,9.81e-06,0.00474,0.104,0.268,130.14,2
27,0BKUGjuFQsk5ohLKacXt2P,0.205,0.769,10,-9.048,1,0.0446,5.3e-05,0.918,0.103,0.123,87.208,2
28,5BCg0S1rBXzxBUd0Af9vfS,0.29,0.52,4,-4.926,1,0.0374,3.61e-05,0.987,0.375,0.331,92.151,2
29,72vRaRGHrAJNvNzXbBTumd,0.171,0.907,5,-10.493,1,0.242,0.0064,0.912,0.33,0.0276,122.784,2
30,3hMbmy8Z6iUZOrZaIOAGA2,0.421,0.556,4,-4.793,0,0.0361,0.00172,0.854,0.11,0.0721,98.04,2
31,0uXXp89EoKQptdchev9W86,0.301,0.439,0,-10.7,0,0.0373,0.00062,0.802,0.0793,0.0912,77.759,2
32,0b8jaIGOtGM3rWFTTh7VmP,0.155,0.827,5,-3.502,1,0.0522,1.28e-05,0.478,0.38,0.297,139.896,2
33,6pTW8qOTWRkCDQBIWfCtuF,0.43,0.91,9,-4.65,0,0.0566,0.00147,0.658,0.0496,0.265,100.023,2
34,2mmn9V5xyfTa0wbSdKlxGx,0.256,0.61,9,-9.696,0,0.0414,8.31e-05,0.893,0.0578,0.235,70.309,2
35,5REzJCbu9NQC9wiKHmK7SZ,0.447,0.861,6,-5.655,1,0.044,0.00014,0.303,0.156,0.151,115.983,2
36,7c1EtrS9gfWUvdc1IoD7RP,0.378,0.881,7,-3.98,1,0.0516,0.00011,0.00594,0.41,0.124,135.011,2
37,4DX6VFRZ7i0pClup7ZD5PZ,0.14,0.813,7,-7.969,1,0.0571,0.415,0.695,0.709,0.0468,101.179,2
38,0GlAct5zqafzzxlrVmPNFp,0.36,0.83,0,-8.2,1,0.0865,0.158,0.939,0.209,0.0349,115.079,2
39,7tRpp7G0v6KuTVNqDenMQd,0.446,0.462,7,-7.889,0,0.0304,0.000393,0.804,0.111,0.0851,139.974,2
40,0aQ8OyF8vtwB7Ju5Xaly9U,0.513,0.487,11,-8.251,1,0.038,0.013,0.797,0.0996,0.0641,110.015,2
41,3u6I2zqdQpNaWPQoLz4Fb6,0.22,0.756,9,-7.248,0,0.0629,0.000396,0.861,0.314,0.0395,110.035,2
42,39nrr0AP90uWvfQJbwnigI,0.0992,0.962,4,-5.182,1,0.0756,5.31e-05,0.85,0.0744,0.0361,89.946,2
43,1ghbMdugKTOluXxDiIc1Pp,0.211,0.447,9,-6.096,0,0.0498,0.00296,0.805,0.109,0.0449,121.237,2
44,5LxrDnSY3wb6SzkNRsNrah,0.342,0.852,2,-5.63,1,0.193,0.756,0.889,0.306,0.034,120.01,2
45,1oir0DGSXFPFKYT7tJiZkg,0.404,0.955,2,-4.28,0,0.112,0.00083,0.281,0.155,0.0695,143.935,2
46,2XnQ8wxDzO8kinUINTQeh0,0.2,0.892,7,-9.281,1,0.345,0.000384,0.927,0.058,0.0289,169.889,2
47,5QvpTmC9Jl5U9jrmCbyGfr,0.455,0.927,0,-6.724,1,0.0538,2.04e-05,0.697,0.0931,0.356,129.831,2
48,1Mdpua84CGRQyBXvwaGpY7,0.195,0.406,3,-7.836,1,0.0374,0.000416,0.979,0.124,0.0999,133.363,2
49,6oz9P1bcDMYuAu8d0BzyCF,0.518,0.905,6,-3.796,0,0.0488,0.000363,0.139,0.167,0.164,129.905,2
50,6gsisRfjrS6TBW8c3dtxcT,0.279,0.993,7,-3.788,1,0.122,0.000178,0.427,0.11,0.0492,150.025,2
51,4ftlXky96PiFb7r1fIJb14,0.301,0.907,0,-2.528,1,0.0557,1.87e-06,0.705,0.162,0.282,145.987,2
52,6QHVlXJEOqTs5TTsoPKaIF,0.412,0.639,10,-6.321,0,0.0425,0.000247,0.3,0.057,0.169,119.909,2
53,4gZRxd97uYRjb8QU6n5QnP,0.101,0.847,0,-4.449,0,0.055,0.000578,0.955,0.0766,0.104,184.693,2
54,0PIkAiysNCt9ktS90UWpIT,0.368,0.995,11,-5.412,0,0.0874,1.7e-05,0.975,0.333,0.0404,137.984,2
55,71FXGcm6u8hgxLvPMDjD7m,0.404,0.617,7,-8.671,0,0.0392,0.143,0.438,0.202,0.29,121.188,2
56,2n5VZsfvwvoK4CRUqlxrhq,0.384,0.981,8,-5.704,0,0.0536,0.00489,0.797,0.266,0.132,102.257,2
