,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,3nEHrvNNtgLv9rneTAYVr4,0.667,0.715,3,-5.893,1,0.0409,0.0115,0.0124,0.089,0.0394,125.05,0
1,06eFWpksA3M9qg8GeOGGBX,0.66,0.837,2,-7.415,0,0.0294,0.242,0.876,0.0704,0.302,123.991,0
2,55Y4oE6oE6XBT2e71vK2yA,0.589,0.912,9,-3.878,0,0.0766,0.0366,0.0,0.0752,0.426,123.946,0
3,1WCEAGGRD066z2Q89ObXTq,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872,0
4,10oKSzRcwbZsog2uq2gb4b,0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08,0
5,7nHruG1y3zBupJG6F6UQtB,0.457,0.954,8,-8.58,1,0.107,0.00127,0.778,0.297,0.0273,127.969,0
6,1UaaVPtlo795n1hWqHpOYS,0.849,0.815,6,-4.833,0,0.174,0.228,2.77e-05,0.214,0.81,123.022,0
7,72EaWichAXl7tTulGwxCKO,0.691,0.733,11,-6.887,0,0.0572,0.0212,5.61e-05,0.0894,0.834,128.038,0
8,5xKJI9aPQhuTdTq8BrJ8fL,0.844,0.688,1,-7.879,0,0.049,0.0129,5.39e-05,0.0492,0.695,124.992,0
9,2cAYjs1WvosMFadzTDmmzD,0.78,0.914,7,-5.283,1,0.0435,0.00356,0.00701,0.151,0.81,125.986,0
10,0KG7XrgM20KEmJrKsyFDAm,0.584,0.955,7,-4.197,0,0.0507,0.101,0.00243,0.092,0.486,128.04,0
11,1SldN7GTd0ADTjspv96wCl,0.58,0.895,3,-5.224,0,0.0396,0.099,0.0117,0.0911,0.356,116.953,0
12,4UQy41kC5LjzwQuiuWOpwA,0.558,0.715,9,-5.231,1,0.0375,0.0667,0.0,0.097,0.297,127.001,0
13,4XeIiGpUBshIfs9yrBDVZC,0.667,0.92,9,-2.71,1,0.0773,0.00752,0.00232,0.126,0.146,114.977,0
14,2HdEtRBwROKFsTiX2VTLCq,0.915,0.766,1,-5.503,1,0.054,0.0102,0.0625,0.129,0.687,120.0,0
15,7kjANxR8XN4hCzLaSc2roy,0.728,0.689,6,-6.601,0,0.13,0.222,6.14e-05,0.107,0.0473,89.973,0
16,408UEGA6FV2nvQjr1nt1VT,0.502,0.874,5,-3.742,0,0.203,0.0543,1.27e-06,0.426,0.392,141.776,0
17,1D2ZNECRd7KIlA4pyOUGsv,0.694,0.884,9,-3.017,1,0.0395,0.161,0.00343,0.117,0.768,123.98,0
18,6LJsVZlhPAvrALPYka3xXz,0.658,0.937,4,-5.773,0,0.0389,0.0102,0.329,0.169,0.342,124.988,0
19,08Ecw0ItPxGeHS9Mexr8cs,0.716,0.655,2,-5.999,1,0.0444,0.00857,0.162,0.0572,0.207,125.012,0
20,7g7OshelYRRnOSEMmisJVI,0.878,0.875,1,-4.923,1,0.0658,0.0507,3.42e-05,0.356,0.84,124.006,0
21,7y3c1oJMY1CwwtOZ84Qovu,0.687,0.788,6,-5.142,0,0.0352,0.0121,0.0,0.358,0.669,123.02,0
22,7CTdh15dTO5HqoeqRPHFha,0.696,0.792,0,-5.659,1,0.0494,0.113,0.0,0.0564,0.445,121.962,0
23,1dt220OBbkTsYz1NLVKIaw,0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581,0
24,5aXTfpNOqLj35ydEiLio67,0.588,0.78,11,-6.102,0,0.0432,0.0333,0.193,0.0728,0.201,127.085,0
25,7kl1oW2J2F9CcSvuej1V9h,0.624,0.756,0,-3.859,0,0.031,0.0018,9.57e-06,0.495,0.516,110.021,0
26,50ZFpw2wS6ERvLmW8TINhq,0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036,0
27,4lYCwQD1GjKmk7MpKSd5d9,0.749,0.892,10,-6.074,0,0.0375,0.247,0.69,0.0257,0.907,124.044,0
28,6GomT970rCOkKAyyrwJeZi,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,0
29,4RAR8g8fZNB106ezUurnE0,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949,0
30,7BhmwvCdQZNwuQXSHw5TzP,0.626,0.754,2,-6.217,0,0.0269,0.00998,0.00404,0.157,0.317,100.015,0
31,00WQxluVREF12JZkKWvio4,0.693,0.968,8,-5.782,1,0.0913,0.00228,0.369,0.207,0.554,127.057,0
32,3fdKyjUyrinYOZzf2788Tk,0.598,0.962,6,-8.118,0,0.0714,0.0213,0.00278,0.0872,0.88,132.015,0
33,56Qg15afWhWx83aFusmXc4,0.325,0.746,6,-3.358,0,0.0789,0.124,0.0016,0.0992,0.0831,73.534,0
34,3kyskiCpYM2ALQUSEShFMY,0.721,0.78,8,-6.935,1,0.0403,0.0455,0.083,0.138,0.725,126.974,0
35,1M8t1j3Kv2qp97bdq5q4Vl,0.767,0.862,5,-5.464,0,0.0606,0.14,0.0092,0.252,0.509,128.039,0
36,2sUkEAXJBIvh9EvuuOOKuW,0.594,0.92,10,-6.399,0,0.0509,0.035,0.0358,0.22,0.0356,121.97,0
37,26wuBc04catG1QQyYupr35,0.635,0.835,8,-2.876,1,0.0589,0.0948,0.0119,0.285,0.216,109.987,0
38,4IoWprg6W4DxHjxm1Pi4KT,0.566,0.868,3,-6.532,0,0.0487,0.00666,0.918,0.0669,0.611,125.984,0
39,4D8Jh26RrDmNTeXL43kXBE,0.643,0.945,10,-6.301,0,0.0781,0.0524,0.146,0.223,0.49,124.928,0
40,5dry5tz8yLcLuOJ3l6ZEQd,0.711,0.931,1,-4.042,1,0.0323,0.0914,4.41e-05,0.0892,0.775,118.009,0
41,3I10tZ5MgEMo4WryCNJkZQ,0.656,0.655,7,-6.766,0,0.024,0.02,0.00816,0.103,0.555,127.001,0
42,2OZZpID4LgZ0GGm8XB99e3,0.638,0.872,2,-6.221,1,0.0415,0.0241,0.0159,0.118,0.253,121.041,0
43,2Oz13asNMRrqP0oHH5Nq1l,0.893,0.82,3,-3.938,1,0.0579,0.00297,0.8,0.0514,0.778,123.003,0
44,3b3TFgnFPhUSk8lvHdO6lX,0.8,0.759,1,-6.938,1,0.0469,0.00112,0.332,0.0845,0.478,126.006,0
45,0YQEWdfq3ajtNtK106Dr0k,0.632,0.691,9,-5.226,0,0.0603,0.00604,0.00149,0.19,0.0768,116.028,0
46,1xeOJfKycH2GR5UDwDNjzu,0.626,0.672,1,-6.806,1,0.0689,0.0704,0.463,0.131,0.0389,173.958,0
