,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,69cLSS2ZcLncDGqoJjfQPx,0.646,0.568,11,-10.532,0,0.0513,0.011,0.0155,0.0967,0.663,159.821,5
1,6JANZAWpBfVcoagXpCL2wK,0.639,0.888,1,-3.946,1,0.0548,0.0126,0.03,0.152,0.603,159.992,5
2,0NFpkvdYYN8rgR3zyYgox1,0.508,0.841,5,-7.014,1,0.0672,0.0419,0.0,0.129,0.494,80.98,5
3,0hBWqY0qvGbzimFDXPkk7b,0.836,0.861,6,-6.821,1,0.0493,0.000151,0.822,0.189,0.741,126.005,5
4,4F1NlboTmnSzkOLv1OEYwl,0.325,0.965,6,-2.921,0,0.323,0.0035,0.0023,0.256,0.187,159.751,5
5,6qt3w5DIQBlk0MbOLiFHsy,0.593,0.829,7,-5.066,1,0.0763,0.0607,0.0319,0.0534,0.477,160.012,5
6,5xWC7SzVC7CkXefu9xN0zI,0.579,0.915,0,-4.486,0,0.145,0.412,0.0,0.161,0.621,154.847,5
7,1iDAnwGloHY2wTjALVTlrV,0.608,0.875,1,-3.135,1,0.0936,0.0325,5.21e-05,0.0506,0.54,165.972,5
8,2zgvSoXAuPlNfGwgGBUCI5,0.661,0.778,6,-5.689,0,0.141,0.0295,0.000235,0.0822,0.672,165.132,5
9,589NTUMjd99DFDMf42fW4m,0.582,0.67,11,-6.585,1,0.172,0.124,0.0,0.167,0.392,160.032,5
10,4Ub1L26fjhQ1WGFxPhs4wU,0.717,0.953,2,-0.921,1,0.0453,0.00199,0.774,0.0644,0.169,160.01,5
11,2EqeAZXKdUWp0VcK6Sb0UZ,0.579,0.695,0,-6.477,1,0.0449,0.000172,0.79,0.126,0.189,160.146,5
12,1jZZm43y7RPuwjJQ5LrGHe,0.495,0.974,7,-0.947,0,0.282,0.0349,0.0,0.44,0.763,102.077,5
13,4zqJQSBQ0CzWn7ZF9P7ohk,0.624,0.782,5,-5.642,1,0.111,0.0462,0.00653,0.355,0.503,160.04,5
14,1IXP0TJXgsUUjinWkpbdfx,0.634,0.912,1,-3.302,1,0.18,0.00795,0.027,0.228,0.53,165.082,5
15,1XAbAp4SLG9ZWzTOFIYX62,0.747,0.61,1,-5.552,1,0.0915,0.00102,0.819,0.137,0.809,160.004,5
16,0Fc9QSMX6fgEBgDjUax7t7,0.723,0.837,11,-6.487,1,0.0389,0.0103,0.000477,0.0834,0.643,123.952,5
17,7bjHjrHyVgQNJP4ckJHQuO,0.611,0.951,9,-4.814,0,0.0653,0.0107,8.86e-05,0.347,0.702,100.004,5
18,7ecbsiAQ6PNdiAq0hplVZo,0.604,0.886,4,-3.523,0,0.061,0.0925,0.0,0.596,0.401,127.098,5
19,1L7BPfULlfZgscRPRcZmPr,0.76,0.973,1,-7.8,1,0.0533,0.0282,0.889,0.155,0.225,134.643,5
20,0sdjMnXYPbWiyK1WkjZSDT,0.533,0.958,8,-3.909,1,0.0569,0.00707,0.0614,0.11,0.295,160.051,5
21,6B8MM3PVQtUbZLay7tP7er,0.769,0.926,6,-1.627,1,0.0788,0.0127,0.0,0.285,0.551,100.034,5
22,0XDXzZUQ6sPhAyDUP3lHsu,0.492,0.815,9,-5.358,1,0.195,0.000219,1.1e-06,0.359,0.561,160.226,5
23,5tyLZo7DHqD5TcZZCgAIcW,0.485,0.845,1,-4.679,0,0.193,0.0246,9.34e-05,0.275,0.0741,160.083,5
24,2Wkm4JBcIV2uSuu4qlbqFN,0.502,0.91,7,-2.769,1,0.107,0.04,0.0,0.319,0.588,176.084,5
25,3NkkcnnKrNHv4AiGaPdD76,0.714,0.886,0,-3.076,1,0.0461,0.058,0.0,0.112,0.752,125.046,5
26,3bbhCzGiNfrhJoEmz68XHg,0.681,0.802,11,-8.668,0,0.0878,0.136,6.33e-06,0.121,0.589,104.981,5
27,0aW4RWeGekBfU2NhREc5kL,0.838,0.838,2,-3.308,1,0.0897,0.0456,0.0,0.0887,0.389,95.019,5
28,512TNJSq1uWMGxIPHahGqS,0.59,0.848,4,-6.264,0,0.0536,0.0332,0.0,0.34,0.639,150.053,5
29,7n2FZQsaLb7ZRfRPfEeIvr,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,5
30,6FdShjf7nA2cqEnpv1tIia,0.732,0.795,8,-2.263,1,0.1,0.0632,0.0,0.0569,0.693,100.954,5
31,0IXdk7xmUfT9gnztbyARdv,0.67,0.762,0,-7.401,1,0.0537,0.0453,0.000834,0.0827,0.918,160.004,5
32,6k67RdkVjTZj79c1cRz7IQ,0.572,0.964,4,-1.949,0,0.123,0.0503,0.0,0.372,0.519,129.979,5
33,2aAC6gh9s6dUL4ggdDYquw,0.847,0.884,11,-4.904,0,0.0383,0.0398,0.842,0.0886,0.947,128.02,5
34,2FymmKBuog0loCuNXMwQID,0.668,0.705,9,-5.731,0,0.0356,0.0274,0.0,0.215,0.549,129.984,5
35,34OSqW5ULWxmCEMjJ1ZgVW,0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989,5
36,31mWJG7RF5eNvmIprY1NzI,0.555,0.921,4,-3.73,0,0.0396,0.00496,2.83e-06,0.289,0.3,164.894,5
37,4cPkEivPh9CMhtjJ5CKbgD,0.57,0.923,7,-2.973,1,0.0469,0.000447,0.0,0.258,0.785,122.553,5
38,64zj6HxPacPMf8449VALmT,0.677,0.841,5,-4.592,1,0.0425,0.0241,0.0,0.388,0.839,120.005,5
39,7KZQv8AL6g17inTEaWBNNj,0.915,0.723,0,-7.364,1,0.183,0.0326,1.2e-06,0.119,0.731,111.933,5
40,1QPF9cvYRkG90NJVoT1GDG,0.747,0.655,5,-12.536,0,0.0623,0.025,0.798,0.23,0.186,139.961,5
41,20hvW8VbJgzV1VgRYS8GTo,0.729,0.913,1,-2.749,1,0.0781,0.0292,0.0,0.104,0.73,99.966,5
42,3FHl1QYu76zguwjqhqcglX,0.557,0.821,1,-7.794,0,0.0573,0.0189,0.0,0.0863,0.184,170.022,5
43,2ffJdCmFnXfGt5AHkLdz9u,0.787,0.675,0,-6.69,1,0.0461,0.00219,0.000281,0.0872,0.595,123.002,5
44,1jas4QjqGPF9jIYukRMKke,0.711,0.696,5,-6.927,0,0.0515,0.00885,2.15e-05,0.0755,0.734,110.904,5
45,5Zwnx3FQmV3IacSOJC6nR5,0.349,0.834,6,-7.255,1,0.421,0.0389,7.4e-06,0.0541,0.364,81.159,5
46,3uRLwBjI2TahxslcMTvpFs,0.599,0.775,1,-4.018,0,0.0543,0.0217,0.0,0.0678,0.696,129.817,5
47,7rMqbvNImA6wy8lxlNUMmj,0.598,0.813,9,-6.107,1,0.066,0.278,0.0,0.109,0.311,140.101,5
48,20LJH0ZlRl72VJAez38FTc,0.601,0.905,8,-5.044,1,0.158,0.369,0.000113,0.163,0.442,81.956,5
49,1Y7AZ3akqDipAyo6mmOQTy,0.65,0.827,8,-4.014,1,0.0599,0.0229,0.0,0.121,0.223,144.995,5
0,32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,5
1,27tNWlhdAryQY04Gb2ZhUI,0.671,0.771,7,-4.821,0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,5
2,0t1kP63rueHleOhQkYSXFY,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,5
3,3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,5
4,5deuMC0wAYRC9Ici1F9vdK,0.721,0.477,9,-11.747,0,0.0384,0.23,0.0105,0.268,0.39,122.089,5
5,3C0nOe05EIt1390bVABLyN,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,5
6,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,5
7,2ONIJ40u0Attbm3miIIpNO,0.592,0.788,6,-4.924,0,0.201,0.0599,2.54e-06,0.125,0.755,89.949,5
8,2gFvRmQiWg9fN9i74Q0aiw,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,5
9,4w4B2xveHWZ7F2aPmMvNHH,0.699,0.664,11,-5.774,0,0.0603,0.0601,0.0,0.285,0.286,134.836,5
10,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,5
11,3850dYVgOFIXJh5U4BFEWH,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,5
12,3tgZ9vmhuAY9wEoNUJskzV,0.589,0.966,11,-4.106,1,0.0972,0.03,0.0,0.147,0.802,129.983,5
13,3AzjcOeAmA57TIOr9zF1ZW,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,5
14,6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,5
15,3VqeTFIvhxu3DIe4eZVzGq,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,5
16,1KixkQVDUHggZMU9dUobgm,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001,5
17,1058fW9H3fZA6QjYCdOBad,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108,5
18,6lc1Rq31ILjpydczoURQPb,0.726,0.931,11,-4.152,0,0.0468,0.0218,0.000283,0.143,0.797,126.976,5
19,0y52rR3mavFuGHFr7xHITk,0.599,0.682,2,-5.377,1,0.059,0.114,0.0,0.0419,0.224,74.992,5
20,2aFiaMXmWsM3Vj72F9ksBl,0.774,0.764,4,-5.445,0,0.0518,0.156,0.0,0.0383,0.912,118.997,5
21,62LHRv9uwSNlBmByQF5jdE,0.844,0.659,6,-5.587,0,0.0626,0.0376,8.07e-05,0.0523,0.54,122.683,5
22,2RMWA3mvD4nxBR1sGF7wRp,0.804,0.88,5,-4.05,0,0.159,0.0287,9.88e-05,0.301,0.382,123.118,5
23,0yIywEquxORnu1dR0WYsdN,0.729,0.868,3,-3.319,1,0.0609,0.00939,0.0,0.283,0.632,124.957,5
24,1QBoJK6GLAYMlNblm5gFBP,0.422,0.824,2,-3.447,1,0.0756,0.129,0.0,0.304,0.294,95.331,5
25,1r299qCKBLgUS9XJ9m1kEx,0.72,0.751,11,-4.484,0,0.0462,0.0113,0.0,0.353,0.599,128.017,5
26,6tnrFU8iLQ6orFXjCA3flL,0.642,0.87,9,-2.879,1,0.034,0.0113,0.0,0.677,0.649,129.982,5
27,3eJH2nAjvNXdmPfBkALiPZ,0.774,0.792,10,-4.021,1,0.0523,0.051,0.0,0.155,0.507,122.062,5
28,5WHTFyqSii0lmT9R21abT8,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,5
29,6Bsgut28PjhuhlqIHmpIED,0.524,0.827,4,-3.816,1,0.0395,0.296,0.0,0.127,0.222,140.003,5
30,4d2hD63oUGU3s7L66JD0BE,0.792,0.856,11,-5.236,0,0.067,0.0159,2.88e-06,0.0981,0.714,127.988,5
31,5ybJm6GczjQOgTqmJ0BomP,0.662,0.736,7,-6.511,1,0.0374,0.00274,0.000844,0.0464,0.674,104.003,5
32,14iN3o8ptQ8cFVZTEmyQRV,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,5
33,3A7qX2QjDlPnazUsRk5y0M,0.548,0.65,8,-5.827,0,0.0591,0.219,0.0,0.225,0.557,144.937,5
34,5m709dCjbKSbA9eBAuyu0P,0.695,0.601,7,-5.631,0,0.0286,0.0493,0.00172,0.116,0.135,94.983,5
35,6aGjEZ7kq3YXgD0EDt80O5,0.658,0.837,2,-2.063,1,0.0543,0.0629,0.0,0.0969,0.936,126.015,5
36,5RzFJd6W40SDTyZkX6xx45,0.82,0.731,9,-6.02,1,0.159,0.0133,1.94e-05,0.131,0.793,127.076,5
37,4QVFtAswXqPoAWRLo5yu8a,0.586,0.865,7,-4.092,1,0.319,0.0345,5.7e-06,0.165,0.468,172.912,5
38,0AkQbXGN4KG34TS7xLrM68,0.63,0.934,4,-2.559,1,0.0589,0.0186,0.0,0.324,0.905,89.992,5
39,6St9ArMKEPj7KOSTEo29Ii,0.687,0.651,9,-5.36,0,0.0853,0.147,0.0,0.305,0.661,99.994,5
40,0FY6OwW0YyVl0IHcksHLLe,0.693,0.847,4,-5.152,1,0.0612,0.502,1.36e-05,0.423,0.299,91.957,5
41,1pwo8l3Ko7idwaz4LVUEC4,0.773,0.747,5,-4.061,1,0.0889,0.0239,8.23e-06,0.11,0.8,126.014,5
42,37sINbJZcFdHFAsVNsPq1i,0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996,5
43,57F80059mWaWFvWG3tBTbO,0.583,0.768,9,-6.477,1,0.041,0.000323,0.0162,0.109,0.357,127.952,5
44,3i4v8NOGZiiizhvFuQfWRn,0.693,0.411,9,-12.117,1,0.0426,0.0512,0.843,0.118,0.439,148.01,5
45,4enwRm8pMU2lOtbnx4hBEU,0.658,0.776,7,-3.979,1,0.0363,0.00177,3.87e-05,0.0349,0.735,94.009,5
46,1C79CxJdMHjk9RkwX04DRh,0.67,0.787,7,-4.277,0,0.0519,0.0228,1.74e-06,0.125,0.713,139.906,5
47,6mO5bl8Gpk5EwjBjPI09b3,0.622,0.808,5,-4.701,1,0.0418,0.00543,5.63e-05,0.215,0.599,122.121,5
48,6mnjcTmK8TewHfyOp3fC9C,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,5
49,1tx6cTPSabCIN0V90Hzlhc,0.625,0.896,5,-3.952,0,0.0656,0.0348,0.0,0.215,0.733,179.868,5
50,5jlsg7onynIipVy5krMaRZ,0.712,0.835,7,-4.676,1,0.0487,0.00623,1.68e-06,0.843,0.741,153.956,5
51,3kGfazcbVvVkuZunzlLgTD,0.708,0.868,6,-3.287,1,0.0431,0.0313,0.0,0.122,0.72,124.994,5
52,70ebKSMHvkUSg7JXgUz74Q,0.676,0.926,0,-2.244,0,0.0425,0.0305,0.000658,0.0771,0.818,124.019,5
53,52izjvF7wwveRG1rDJsGWe,0.617,0.759,0,-6.785,0,0.0677,0.0026,0.0,0.419,0.324,122.925,5
54,1nYeVF5vIBxMxfPoL0SIWg,0.627,0.69,10,-5.396,0,0.139,0.033,0.0,0.0742,0.627,122.053,5
55,33YnnNdQxlkvZ8H7vc2EmW,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0,5
56,5SpRi1rjzA5Tz1ihk7Jyxo,0.553,0.663,1,-8.223,1,0.0411,0.369,0.000711,0.27,0.545,107.891,5
57,2fQxE0jVrjNMT9oJAXtSJR,0.758,0.557,7,-4.568,1,0.034,0.0117,0.0,0.0418,0.781,126.986,5
58,6oG7bmUn7ws0qYEJ0eEbeG,0.607,0.718,4,-4.095,1,0.0978,0.032,0.0,0.403,0.551,101.821,5
59,0mV43B6pJWRjcM5TmzNe6d,0.727,0.832,9,-4.327,0,0.0366,0.181,0.0,0.0615,0.213,127.035,5
60,3kSXn1osC89W8JcPLozTzs,0.506,0.897,9,-4.632,1,0.26,0.146,0.000451,0.0868,0.525,188.03,5
61,1v3bR4v6SruaE8efrTUqqp,0.646,0.772,2,-3.826,1,0.0564,0.000402,0.0,0.102,0.414,117.097,5
62,1eOJAiCKFuMda0fPRvjcuc,0.642,0.823,0,-5.717,1,0.0289,0.00159,0.0,0.0776,0.431,122.977,5
63,63eV5hreY9feQP2CmYavpj,0.615,0.701,0,-4.257,1,0.0472,0.00302,0.0,0.0471,0.251,98.073,5
64,6St9lR6dhV2tpCNVz7qfrS,0.762,0.748,0,-4.15,0,0.033,0.0266,0.0,0.348,0.851,110.009,5
65,2AceGjiX9isUbXmMZa0Dl1,0.575,0.844,6,-4.89,0,0.072,0.00172,0.0,0.114,0.277,104.914,5
66,33npucdtC2uQou2OM2KmRQ,0.61,0.87,2,-4.012,0,0.0693,0.00299,0.0,0.064,0.523,125.014,5
67,6K8qKeWo5MsFED7wCR6Kop,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,5
68,4T6HLdP6OcAtqC6tGnQelG,0.686,0.688,6,-4.981,0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,5
69,74e47qZqDjDfhvdI5GzV9v,0.411,0.922,1,-4.029,0,0.0649,0.065,0.00229,0.0688,0.513,100.534,5
70,77W6VUoJdasCQgjc5DW19q,0.738,0.875,7,-3.141,1,0.127,0.000673,0.000556,0.285,0.538,114.962,5
71,3YY9Yu1JsgVfF1lOXEenq9,0.803,0.764,5,-5.233,1,0.0387,0.0339,0.000703,0.206,0.614,122.014,5
72,0Y4hwUppbGc8aIBmiTz30A,0.636,0.805,9,-4.594,1,0.327,0.0161,0.0,0.0793,0.908,92.958,5
73,77fvnWALKJR0ws1VUx09CY,0.715,0.827,4,-5.09,0,0.0617,0.0485,3.61e-05,0.321,0.75,117.977,5
74,5id3Rqn7SPj1LX4FfY4nGz,0.521,0.877,7,-5.444,1,0.0683,0.0132,0.0806,0.0929,0.199,180.007,5
75,474VqnPDr0251lsQBB8sQB,0.739,0.588,8,-4.971,1,0.136,0.00308,0.0,0.109,0.774,109.958,5
76,4ztw0mBC6VBiLV79yRHDQW,0.73,0.558,8,-6.535,1,0.0786,0.0179,0.0,0.128,0.618,100.066,5
77,0osvOdeD3YXZiWkT8MKolJ,0.749,0.674,10,-5.128,0,0.0366,0.0209,0.0,0.169,0.711,123.055,5
78,7nMZcs67HOyZecs2fF659W,0.684,0.744,5,-5.297,0,0.0949,0.0426,0.0,0.327,0.767,119.879,5
79,6eUncuJutsFi9BGO1JaBHh,0.897,0.634,4,-6.264,0,0.161,0.00413,0.0,0.0686,0.506,112.048,5
80,6QicTxeiSaRkPnkGDUvYOs,0.834,0.831,7,-6.061,0,0.0745,0.00799,0.0,0.217,0.788,103.009,5
81,5YHR8wBR5jXfGtP766NiAT,0.503,0.843,10,-4.991,0,0.316,0.0487,0.0,0.344,0.778,128.63,5
82,1Fc4NYNUePCq7ab5ftg7Ty,0.71,0.781,7,-4.762,0,0.0536,0.12,0.0,0.0579,0.546,131.916,5
83,3ZWhRS2EJVL5B0IEzkcvZa,0.827,0.73,1,-5.324,1,0.0934,0.092,1.35e-05,0.258,0.679,95.003,5
84,2S68WpmPi4gFg9pg78alRb,0.768,0.742,0,-3.544,0,0.047,0.196,0.0,0.736,0.659,94.987,5
85,5Ef2noaxqTAfa5gLVw05OJ,0.745,0.719,11,-4.291,1,0.19,0.0352,0.0,0.0639,0.611,99.962,5
86,421leiR6jKlH5KDdwLYrOs,0.824,0.592,6,-6.4,0,0.0969,0.693,0.000158,0.178,0.54,98.074,5
87,79cuOz3SPQTuFrp8WgftAu,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996,5
88,20I6sIOMTCkB6w7ryavxtO,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,5
89,3PfIrDoz19wz7qK7tYeu62,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,5
90,6FE2iI43OZnszFLuLtvvmg,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,5
91,55jE6xWDL8ztYZ24bcob1x,0.552,0.708,1,-6.332,1,0.0366,0.00853,0.0,0.09,0.52,130.014,5
92,27u7t9d7ZQoyjsCROHuZJ3,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022,5
93,3bDGwl0X3EjQmIyFD1uif5,0.56,0.756,7,-4.817,0,0.0415,0.00635,1.29e-05,0.55,0.404,179.771,5
94,3JR0ducCexKbeK47g6AHm5,0.739,0.588,8,-4.971,1,0.136,0.00308,0.0,0.109,0.774,109.958,5
0,3BfJ695pBWcdisi1TsJtQW,0.633,0.882,7,-5.415,0,0.0713,0.00401,0.0,0.144,0.372,123.992,5
1,5HCw4edXKPhXqh2YRAL2aC,0.68,0.749,10,-7.248,0,0.028,0.134,0.000281,0.394,0.425,114.005,5
2,5JHREaHmnVSbPPUxwhstVj,0.673,0.776,4,-5.536,0,0.0442,0.095,0.0,0.197,0.532,124.014,5
3,6DoYk3QIvkDs60S1d01vbx,0.598,0.687,7,-9.021,1,0.0955,0.26,0.0,0.112,0.626,75.169,5
4,6FE2iI43OZnszFLuLtvvmg,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,5
5,6eUncuJutsFi9BGO1JaBHh,0.897,0.634,4,-6.264,0,0.161,0.00413,0.0,0.0686,0.506,112.048,5
6,5k5fWendNngd89O8JKoE8L,0.756,0.789,2,-7.002,1,0.0324,0.53,0.000711,0.157,0.873,127.987,5
7,0Kd3Ih8VZgaetIqke9SIND,0.642,0.834,1,-3.258,1,0.0914,0.0759,0.0,0.378,0.678,98.063,5
8,6cj8s9tWTahcd0XmnM2tVj,0.832,0.87,8,-4.2,0,0.166,0.269,0.0,0.415,0.577,137.998,5
