,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,0
1,3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,4,-5.968,0,0.297,0.0336,0.0,0.112,0.145,84.216,0
2,1HvTxgCj0mTzQlEo0zLvFb,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049,0
3,7ohROa13QK43JBRqfCmz4P,0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037,0
4,6r9xnueU24r4eoG3HXC87E,0.807,0.625,0,-6.67,1,0.351,0.0741,0.0,0.487,0.871,146.031,0
5,6ws54n2IzyrIxxyzlG2bVJ,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991,0
6,62Yo3FDddWY8ydu6PW2wyz,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,0
7,7Fege3yv4dvehB3NdRBGwI,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,0
8,1NVp7VnSVUJalgIBCIkh0w,0.863,0.499,7,-8.602,0,0.514,0.0758,0.0,0.104,0.76,80.073,0
9,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,0
10,0aJMggmjMva3QFnAbmM2U9,0.6,0.617,3,-6.794,0,0.117,0.0277,0.0,0.253,0.168,145.805,0
11,0RkCnqwF8Tfl2QGPZwopyk,0.868,0.835,1,-5.816,1,0.315,0.0376,0.0,0.152,0.884,140.029,0
12,2HHLfzE7PkljuqyYU4vwmh,0.534,0.573,1,-6.757,1,0.414,0.00926,0.0,0.136,0.373,160.333,0
13,5KcZNsrl7PMIxJ2xBbTwH3,0.752,0.617,7,-5.68,1,0.0544,0.0319,0.0,0.261,0.137,144.006,0
14,4CJbchKHZEboLnqQqPszoN,0.711,0.64,6,-6.605,0,0.173,0.133,0.0,0.125,0.579,138.114,0
15,0VlpgNPHWCyh8xxLcaK2fp,0.824,0.577,2,-9.443,1,0.357,0.0109,0.0,0.107,0.442,154.081,0
16,0P2P1AxcRYhiZvoF5MyRmM,0.688,0.842,2,-4.211,1,0.264,0.0499,0.0,0.241,0.416,159.897,0
17,3p4YmRsO7aOu8PUbwdN3OB,0.905,0.724,0,-6.255,1,0.237,0.00813,0.0,0.329,0.361,136.982,0
18,02WDt2eCNOU2mt0DF5w678,0.677,0.558,8,-7.681,1,0.177,0.167,0.0,0.365,0.384,144.485,0
19,6g6FfeozIEkVUXecpSq16Q,0.826,0.583,2,-5.186,0,0.0626,0.441,0.0,0.155,0.539,140.039,0
20,1wSAAx6UHuQurUBHGM95og,0.626,0.463,7,-7.559,0,0.122,0.62,6.89e-06,0.177,0.0743,144.986,0
21,70jjParnrP2X3mOVkoljGE,0.862,0.547,8,-9.557,1,0.333,0.144,0.0,0.0691,0.645,145.191,0
22,4wJKTG3bAleqUXmylh83Id,0.884,0.515,1,-7.33,0,0.2,0.397,0.0,0.137,0.311,138.019,0
23,54VFhe501kUbDYj2OrueMp,0.676,0.61,1,-9.185,1,0.273,0.000114,1.73e-06,0.191,0.519,156.005,0
