,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,7CLIr0lZ4GWeHTaj9lNkXM,0.685,0.72,4,-5.553,1,0.028,0.00702,0.275,0.425,0.554,133.016,0
1,3OM6qQmdFV6uy61GIqpRtf,0.719,0.461,8,-8.191,1,0.0454,0.279,0.0,0.0875,0.548,123.915,0
2,1wQhpsuVJFxrvESjqUvlkt,0.645,0.591,2,-10.591,1,0.0483,0.679,0.00295,0.136,0.232,129.993,0
3,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299,0
4,3dvXRk7TZ929m21p49RR5P,0.593,0.576,2,-10.331,1,0.032,0.526,0.718,0.0827,0.559,109.935,0
5,7iqAuZe5yS0suLQcFfVK39,0.684,0.749,7,-6.565,1,0.06,0.00135,0.111,0.141,0.935,160.021,0
6,0vx0HNWpitK8Y5L53ZY1C1,0.673,0.409,0,-8.544,1,0.0373,0.579,0.0222,0.103,0.374,77.016,0
7,1muz3TRXxuub3ERDZbNvQE,0.595,0.473,4,-8.721,1,0.026,0.37,0.00147,0.0949,0.319,81.004,0
8,0G41EUi3xiwUR6iOtXAQCz,0.343,0.331,2,-9.528,1,0.035,0.313,1.7e-05,0.512,0.343,203.852,0
9,1mTZgUSvyG3I3O9onu3p5V,0.666,0.657,1,-8.726,1,0.0318,0.0317,0.819,0.0981,0.434,92.747,0
10,1fTvkU6kdBi5PIvljWboKt,0.791,0.791,8,-3.639,1,0.0397,0.0245,3.72e-05,0.112,0.876,120.01,0
11,4Pg6eqgANtv5uZiUYkH9NX,0.682,0.545,0,-9.947,1,0.0433,0.461,0.619,0.0871,0.481,128.965,0
12,25B37PuDwZCLof9uOtlVww,0.609,0.569,1,-6.645,0,0.396,0.302,0.000351,0.36,0.33,104.34,0
13,3Tuz3Ec6n03nPTAa5knMm8,0.606,0.696,6,-5.153,1,0.0613,0.122,0.000188,0.157,0.68,121.347,0
14,2hkGd89f1mtUp19libeWmR,0.684,0.809,5,-5.271,0,0.0409,0.0492,1.85e-05,0.129,0.886,126.66,0
15,6AJUq174xQvhXvRLbLvFml,0.459,0.487,5,-7.775,1,0.0836,0.0447,0.0121,0.0957,0.671,166.018,0
16,1VSngtLdJhrlfHkLxTyOXK,0.73,0.445,6,-8.376,0,0.0446,0.142,0.00109,0.107,0.075,105.976,0
17,3i7XRi2UyvGTdJawJRkVhd,0.611,0.507,9,-8.521,1,0.0267,0.0208,0.012,0.222,0.401,76.578,0
18,56m9pSdW8e56jiadoFKuu8,0.576,0.44,0,-8.275,1,0.024,0.576,0.0,0.347,0.362,84.989,0
19,0IgEhBc28DrqMaFCSWrSew,0.59,0.601,1,-6.672,0,0.061,0.0991,0.041,0.0963,0.533,147.043,0
20,3HyzMwZ7JHVp07a9YQnpWJ,0.541,0.73,2,-5.223,1,0.0301,0.0697,0.0736,0.117,0.5,106.01,0
21,6y6bUurXB0FfhddEU5Qch0,0.477,0.747,11,-7.188,1,0.0333,0.00437,0.011,0.158,0.578,150.997,0
22,2orOji9Xa4xhCWUtSAZrFT,0.237,0.352,10,-8.864,1,0.0359,0.963,0.229,0.156,0.254,180.402,0
23,6IbCvfmmICEEAyDwQ9zcbt,0.703,0.624,7,-6.228,1,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,0
24,0xTZXhs3eVb48PQNywMCdH,0.46,0.71,0,-6.3,1,0.044,0.00187,0.00758,0.088,0.242,151.821,0
25,4xgXivGYKauPmdv8YoBWbp,0.493,0.854,5,-6.818,1,0.0475,0.132,0.342,0.0935,0.71,219.999,0
26,1KX30hHDvpBRvm3JXxtYEY,0.657,0.683,9,-8.051,1,0.0302,0.00108,0.147,0.214,0.633,97.993,0
27,6vZ2FTyBiKS5DfGz2Qe79j,0.575,0.536,6,-7.753,0,0.0275,0.538,0.0541,0.233,0.367,77.025,0
28,4A33rjRNxA1uG6W8VyVMoR,0.727,0.854,8,-6.839,0,0.0861,0.00282,0.304,0.11,0.486,120.053,0
29,3MEYOBGJlvDgG99hSKIDQH,0.623,0.766,4,-7.445,1,0.0531,0.103,0.0193,0.158,0.55,153.15,0
30,0HAqq2GcQKyi3s87GuN7jU,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008,0
31,4IK173MxzuvTXczWL6OHZn,0.549,0.657,2,-8.296,1,0.0317,0.000993,0.0182,0.32,0.574,104.962,0
32,60F6pgM6H6miNr5AmjxwjL,0.603,0.551,10,-6.259,0,0.0304,0.0696,0.0976,0.192,0.439,75.001,0
33,7uewMG4oKBNpCeso1KiI1i,0.609,0.523,6,-9.503,0,0.0495,0.0824,0.0893,0.0461,0.608,83.977,0
34,5tFleO79RsHgXTqyDjoFWT,0.408,0.968,9,-6.137,1,0.0554,0.0275,0.172,0.372,0.638,151.33,0
35,0fdaw54L9HswP2QVYJjnx6,0.724,0.599,0,-7.032,1,0.101,0.512,0.00291,0.101,0.861,147.987,0
36,4XB9mPk0wcrWHRJSypO79z,0.565,0.572,2,-9.982,0,0.0293,0.634,0.745,0.139,0.263,142.305,0
37,1UpFb9izAOYlcxWTOQzGf6,0.883,0.431,2,-10.128,1,0.0434,0.591,0.00039,0.104,0.768,127.949,0
38,4N1zjRwfeYAfKVIjjYbDRX,0.462,0.394,10,-8.402,1,0.0271,0.669,5.5e-06,0.134,0.286,100.692,0
39,3A0cAzFKPefBCz7Z02UnnO,0.557,0.863,0,-5.321,0,0.0391,0.104,0.0,0.697,0.373,105.362,0
40,7lLtAjBc4Fkaw0FkBQWlSX,0.602,0.395,4,-4.749,1,0.027,0.113,4.34e-06,0.243,0.209,129.942,0
41,0dgzCsOCKDVFxCIHRb8z14,0.67,0.694,2,-5.591,1,0.0295,0.0819,0.000353,0.122,0.405,109.972,0
42,63KNEkrbMKEi3Ee2eU0MXx,0.58,0.403,4,-13.995,1,0.0438,0.878,0.0137,0.243,0.405,90.006,0
43,4au9zOGq4UoV03sLuXFZZI,0.687,0.436,5,-7.505,1,0.0378,0.73,0.0,0.0853,0.281,94.968,0
44,6FmnMoph4yx7zjhuBcrHDv,0.743,0.49,1,-10.845,1,0.0377,0.307,0.0393,0.108,0.394,120.028,0
45,0ePX6rVjeql7Bt1KurTbAG,0.722,0.889,3,-2.564,0,0.0416,0.0682,4.77e-06,0.124,0.743,139.965,0
46,7v7A2gqJVvSrSl5xOjJaOf,0.724,0.711,6,-6.938,0,0.242,0.594,2.86e-06,0.135,0.407,139.914,0
47,6afganegJBNs44tGwIOgYQ,0.606,0.655,0,-4.963,0,0.0302,0.239,0.0,0.0898,0.46,75.102,0
48,58gYZpNEBSJUajiS7zDg0O,0.544,0.779,5,-5.668,0,0.0269,0.0317,0.788,0.0801,0.675,99.975,0
49,7dCSqTnarqs3EF7iDRVRW9,0.826,0.709,0,-6.597,1,0.0369,0.0962,0.000646,0.397,0.956,117.028,0
50,7dYjEwbLJ1B5reoz3lWra0,0.675,0.759,6,-13.982,0,0.0543,0.516,0.934,0.372,0.129,127.991,0
51,7CIERzyqIwLVKGp00YbHRO,0.829,0.617,1,-8.497,1,0.14,0.227,0.00306,0.0618,0.81,125.605,0
52,30viLVZCdHn0tqWYZD5Qie,0.742,0.859,6,-6.495,0,0.0417,0.349,2.61e-06,0.12,0.848,129.978,0
53,6W2trGwkUVR8mwGSH4Ftpf,0.721,0.485,5,-11.213,0,0.0681,0.158,0.275,0.107,0.614,150.027,0
54,2joEpsXflccZD0ZwKEdz5m,0.823,0.461,9,-12.75,0,0.0366,0.647,0.327,0.14,0.798,114.026,0
