,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,0qxiaagtTvTeNvzxHHc441,0.46,0.633,5,-7.153,0,0.0404,0.613,0.0,0.274,0.515,106.331,0
1,2kHsFZZipGAI168yh21B0p,0.598,0.187,10,-15.57,0,0.0484,0.643,0.0439,0.0797,0.399,93.216,0
2,3GOZbK2epuHzCt5YvvVFHO,0.336,0.0619,5,-20.494,0,0.0363,0.985,0.891,0.11,0.197,60.705,0
3,3PJMsxg6rz9FOo6xNiASXz,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,0
4,6MXrGG7nff0FXBQJa5UF9P,0.416,0.201,8,-11.461,1,0.0379,0.975,0.803,0.107,0.372,165.869,0
5,6yKkA8HzwWTZ5taIMaG4Nm,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,0
6,2PGjqrXgOBqP8G4R6EKmpR,0.47,0.684,4,-7.873,0,0.0377,0.714,1.92e-05,0.0797,0.483,128.506,0
7,5vb7At47uO0yPGfmYnAHuw,0.494,0.182,10,-11.116,0,0.0443,0.79,0.00036,0.129,0.21,112.689,0
8,0IxLWzmafWC5VTnpnvykJq,0.38,0.164,7,-14.69,0,0.0452,0.985,0.955,0.125,0.0871,79.03,0
9,7tQ7e28gdQNhLcIbqc1PXY,0.419,0.296,6,-14.721,1,0.0308,0.914,0.927,0.193,0.121,111.452,0
10,4xGFcQEIjtmbPD6Jsxq14M,0.641,0.14,8,-16.79,1,0.039,0.867,0.00166,0.105,0.388,129.318,0
11,5z8eOnPiOC22EYpniAX3Qg,0.477,0.733,8,-8.301,1,0.0682,0.732,0.0756,0.153,0.385,120.42,0
12,1dZHIbmuBDAwXfQOM4dyM3,0.473,0.67,8,-7.756,1,0.0353,0.446,3.15e-06,0.0957,0.808,152.484,0
13,7z4EbJbnbvWcP9Bg15fpgC,0.441,0.321,10,-19.455,1,0.0324,0.856,0.854,0.236,0.594,89.776,0
