,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,31fMJwgrgNdk1IbWZEchX2,0.712,0.0784,4,-19.067,1,0.0544,0.739,0.0,0.107,0.642,121.443,0
1,2iHsdUnmKGIuc9oRE3DfgJ,0.61,0.747,2,-4.543,1,0.109,0.0245,0.0,0.106,0.439,150.088,0
2,0oN3KzKOxYtyIuNiobf8Q4,0.721,0.666,1,-4.699,0,0.0408,0.0687,0.0,0.045,0.739,132.465,0
3,4jUAn4mBt4LBsRREJkeCSr,0.611,0.803,5,-4.368,1,0.0394,0.00437,1.41e-06,0.604,0.624,92.497,0
4,697MdxMbVWn1Ajbw8iaPv5,0.706,0.644,8,-7.772,1,0.0318,0.14,0.0,0.154,0.603,120.002,0
5,7aAsStiuC4Zw8vIbvRWtq7,0.774,0.742,6,-7.391,0,0.0784,0.0312,5.03e-05,0.0907,0.677,122.028,0
6,5902W4uHWzhtOff1UK7the,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,0
7,5wb8h2gUzyhmCwOtGp29z4,0.743,0.587,6,-9.174,1,0.0782,0.114,0.0287,0.0746,0.537,143.994,0
8,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,0
9,7u3Jn3uehu2mFCf1ETkrc2,0.448,0.562,5,-6.965,0,0.174,0.166,1.04e-06,0.364,0.443,75.475,0
10,6FRxFke9VsjXmibGgSeKki,0.429,0.905,10,-2.93,1,0.0512,0.228,0.0,0.0714,0.659,121.025,0
11,6UXU0TkzArLcCdJBhVKczv,0.467,0.526,8,-8.06,1,0.0774,0.172,6.08e-05,0.111,0.212,175.886,0
12,6bQfNiqyCX7UaQSvVVGo4I,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,0
13,0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,0
14,5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,0
15,5G4pbhMytyWMdaJgZe2HLY,0.704,0.558,11,-7.413,0,0.0309,0.239,0.0,0.102,0.338,147.864,0
16,3XKjZcgNYtvCmBpE1nX7Wn,0.517,0.7,6,-6.568,0,0.0452,0.00375,0.0385,0.0634,0.518,179.986,0
17,4HFf6V02EOuNiBAxd3pKxn,0.511,0.399,10,-7.692,1,0.028,0.195,0.00319,0.088,0.14,180.093,0
18,3eJH2nAjvNXdmPfBkALiPZ,0.774,0.792,10,-4.021,1,0.0523,0.051,0.0,0.155,0.507,122.062,0
19,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,0
20,4syyKlhOWbsZUsZ4DwmJxH,0.697,0.515,6,-6.335,1,0.0502,0.0576,1.81e-06,0.294,0.37,95.086,0
21,5iHaCazOYOBFpVym9L8xon,0.662,0.579,6,-6.33,0,0.0293,0.0252,4.74e-06,0.315,0.768,102.02,0
22,0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,0
23,6OGogr19zPTM4BALXuMQpF,0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,0
24,3KdoeNlEN0BoAKWzaRLNZa,0.735,0.47,4,-9.405,1,0.1,0.266,0.000105,0.32,0.897,87.971,0
25,0n1JxQTqtzezc6y6sDLzuT,0.653,0.49,2,-8.996,1,0.0453,0.326,2.19e-05,0.335,0.568,88.022,0
