,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,7woCxOw0jmj65ohlQ3x0tH,0.788,0.446,6,-9.812,1,0.0693,0.54,0.694,0.273,0.545,80.033,3
1,1QIsVlaCz3U5GfsEJE9O8L,0.613,0.526,7,-9.243,0,0.031,0.669,0.933,0.168,0.108,154.082,3
2,4HQEDrFbkrVo43WTtHCoDF,0.694,0.704,11,-10.396,0,0.207,0.0388,0.831,0.0908,0.212,74.983,3
3,5ehVOwEZ1Q7Ckkdtq0dY1W,0.717,0.193,9,-16.141,0,0.0459,0.802,0.893,0.0653,0.0447,109.992,3
4,738ezpBPFkPV6zZmJLicaN,0.701,0.415,0,-17.812,1,0.0663,0.442,0.886,0.109,0.326,74.989,3
5,7E5eZ1ZGeqtIPIXIU5NceV,0.733,0.262,8,-16.316,1,0.0627,0.548,0.854,0.102,0.393,75.082,3
6,4PCMttKgDScL8IbN59lF11,0.521,0.289,7,-12.812,1,0.0292,0.65,0.843,0.0878,0.0715,74.987,3
7,6VcyHKX0tZvwFYtgJL7IcX,0.542,0.479,0,-15.033,0,0.039,0.972,0.647,0.171,0.217,132.96,3
8,451EMYReoEHbfvj75Pu1B9,0.79,0.446,9,-9.273,0,0.052,0.656,0.931,0.0933,0.222,80.002,3
9,4k3bQolPVSky3itPqhsrlY,0.612,0.259,11,-11.096,0,0.0999,0.196,0.901,0.106,0.214,149.957,3
10,2pT0soNU4WKusm9Jk5wG8N,0.547,0.0441,8,-21.584,1,0.0333,0.734,0.869,0.0816,0.0359,64.99,3
11,1yPluCl0c17RcWyGjV7tw5,0.49,0.296,3,-20.157,0,0.0301,0.726,0.862,0.106,0.339,75.012,3
12,23gcQr3NRKzLXsP9H5jFQ1,0.614,0.277,1,-11.943,0,0.042,0.967,0.891,0.0698,0.236,84.938,3
13,7saan3wT8athjtK1LxUfth,0.528,0.42,5,-12.708,0,0.0328,0.477,0.888,0.13,0.0484,70.024,3
14,2Y07pojl0DkC41zg0Vfvgo,0.845,0.571,5,-10.541,0,0.058,0.397,0.865,0.313,0.657,134.996,3
15,4piWGWlGPmzxSmFj3gbdZB,0.674,0.52,4,-9.925,1,0.0334,0.772,0.945,0.107,0.225,82.47,3
16,46fpycbDAktlUgSCY1fMJd,0.714,0.34,8,-15.571,1,0.0534,0.356,0.871,0.1,0.176,139.993,3
17,0NDUuWBh1ykEGtIBtD9tAm,0.336,0.447,5,-11.923,0,0.0374,0.717,0.906,0.141,0.319,75.01,3
