,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
0,4N0tDOF2bo9JEpSqLNlpjq,0.811,0.757,0,-6.447,1,0.23,0.298,0.0,0.103,0.565,130.993,6
1,2aIdVb8v9KTpEZnftkz2mD,0.451,0.55,1,-8.137,1,0.262,0.0108,0.0,0.0737,0.594,80.001,6
2,2Lg4kvhOrPhpGEZmSe7VAN,0.872,0.673,2,-6.879,1,0.108,0.00802,0.0,0.155,0.527,162.781,6
3,3E7dfMvvCLUddWissuqMwr,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,6
4,4pmc2AxSEq6g7hPVlJCPyP,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,6
5,7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,6
6,2gam98EZKrF9XuOkU13ApN,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,6
7,7LP4Es66zdY7CyjepqmvAg,0.657,0.695,2,-4.493,1,0.0321,0.0108,0.0,0.0822,0.683,65.997,6
8,1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,6
9,2cYZpcIV39X48RnOFM7w2V,0.643,0.717,8,-4.876,0,0.506,0.184,0.0,0.152,0.46,90.893,6
10,2lVDc57IMK6nypg2iuEWVR,0.925,0.748,11,-5.572,0,0.278,0.0484,0.0,0.101,0.615,92.978,6
11,06iMqWThw4w8fTFyccvOwr,0.854,0.692,7,-6.625,1,0.0479,0.0668,0.0,0.247,0.753,101.865,6
12,2oENJa1T33GJ0w8dC167G4,0.839,0.804,1,-2.513,1,0.0329,0.0192,0.0,0.331,0.888,122.973,6
13,3xrn9i8zhNZsTtcoWgQEAd,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,6
14,3tvWMBIblzT5FSjKtIeRR1,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,6
15,2DHc2e5bBn4UzY0ENVFrUl,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,6
16,1PS1QMdUqOal0ai3Gt7sDQ,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,6
17,5z7mYFfhw6N6f23VwrokJD,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,6
18,04KTF78FFg8sOHC1BADqbY,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,6
19,3bMNprrp2JDKZsGbiXpsJl,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789,6
20,12lZTPlXwUtrQuhEty6098,0.7,0.695,7,-4.973,1,0.0897,0.00629,0.0,0.0319,0.633,122.028,6
21,4TsmezEQVSZNNPv5RJ65Ov,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,6
22,7u6aTzXw1JtiK5sr7XctFs,0.759,0.891,11,-2.983,1,0.257,0.0298,0.0,0.141,0.587,98.579,6
